Date,ON,1W,1M,2M,3M,6M,12M
04.02.2019,2.38413,2.408,2.51313,2.63775,2.73438,2.79575,2.98013
01.02.2019,2.374,2.40838,2.514,2.6285,2.73263,2.79,2.96163
31.01.2019,2.3835,2.40888,2.51375,2.62525,2.7375,2.7995,2.9835
30.01.2019,2.38388,2.41475,2.50913,2.61925,2.73625,2.8115,3.02063
29.01.2019,2.38438,2.41388,2.49888,2.63363,2.74438,2.82338,3.02375
28.01.2019,2.38488,2.4065,2.50175,2.64613,2.7505,2.82988,3.03
25.01.2019,2.38475,2.40275,2.5,2.64638,2.75163,2.83225,3.0315
24.01.2019,2.3845,2.4095,2.50188,2.625,2.76475,2.85013,3.02913
23.01.2019,2.38413,2.41438,2.51,2.627,2.77063,2.85363,3.035
22.01.2019,2.37563,2.40888,2.519,2.64188,2.77925,2.85363,3.03713
21.01.2019,,2.40925,2.51225,2.63438,2.77238,2.85475,3.03988
18.01.2019,2.38388,2.40613,2.506,2.62963,2.761,2.85188,3.03013
17.01.2019,2.38463,2.40663,2.503,2.63313,2.77575,2.8525,3.01188
16.01.2019,2.38488,2.40719,2.51325,2.64225,2.78031,2.86163,3.03013
15.01.2019,2.38675,2.402,2.5075,2.63963,2.77344,2.84581,3.00838
14.01.2019,2.39013,2.39613,2.51006,2.637,2.77894,2.85344,3.01088
11.01.2019,2.38938,2.407,2.50894,2.648,2.78731,2.86463,3.01869
10.01.2019,2.39413,2.40788,2.51419,2.65275,2.79694,2.86044,3.019
09.01.2019,2.39075,2.414,2.51875,2.65288,2.79888,2.86975,3.039
08.01.2019,2.39125,2.40875,2.5155,2.64638,2.7825,2.85256,3.01613
07.01.2019,2.39275,2.40513,2.51113,2.63388,2.79681,2.84875,2.99475
04.01.2019,2.394,2.40975,2.52056,2.62313,2.80388,2.85575,2.96488
03.01.2019,2.39188,2.41325,2.51275,2.62038,2.795,2.85888,3.005
02.01.2019,2.38675,2.41475,2.50713,2.61738,2.79388,2.87394,3.002
31.12.2018,2.37825,2.41138,2.50269,2.61375,2.80763,2.87563,3.00544
28.12.2018,2.39238,2.41588,2.51988,2.6195,2.797,2.87313,3.01313
27.12.2018,2.391,2.41963,2.52238,2.619,2.803,2.883,3.03238
24.12.2018,2.38988,2.41863,2.50563,2.61175,2.81344,2.89375,3.04788
21.12.2018,2.39163,2.416,2.50625,2.61188,2.82163,2.90788,3.07313
20.12.2018,2.38788,2.40838,2.50375,2.61738,2.82375,2.9,3.06544
19.12.2018,2.18175,2.36813,2.47938,2.58956,2.78963,2.87088,3.05275
18.12.2018,2.18025,2.369,2.47013,2.58725,2.792,2.87638,3.06131
17.12.2018,2.18125,2.299,2.46963,2.59063,2.80363,2.90463,3.10388
14.12.2018,2.18475,2.28075,2.455,2.588,2.80069,2.90056,3.09769
13.12.2018,2.18438,2.27638,2.45513,2.58863,2.78819,2.90088,3.11238
12.12.2018,2.18475,2.21988,2.44013,2.58494,2.7775,2.89225,3.10125
11.12.2018,2.18213,2.2065,2.43238,2.57981,2.779,2.88063,3.0895
10.12.2018,2.182,2.21025,2.4205,2.56763,2.77594,2.87788,3.084
07.12.2018,2.18088,2.21425,2.40019,2.54525,2.77106,2.88581,3.10056
