,ON,w1,m1,m2,m3,m6,m12
2006-01-01,,,,,,,
2006-01-02,4.54,4.56,4.57,4.63,4.69,4.82,4.95
2006-01-03,4.55,4.56,4.64,4.74,4.83,4.98,5.12
2006-01-04,4.55,4.56,4.64,4.74,4.83,4.98,5.12
2006-01-05,4.55,4.56,4.64,4.74,4.83,4.98,5.12
2006-01-06,5.08,5.07,5.13,5.21,5.27,5.39,5.51
2006-01-07,5.08,5.07,5.13,5.21,5.27,5.39,5.51
2006-01-08,5.31,5.33,5.39,5.43,5.47,5.51,5.54
2006-01-09,5.3,5.31,5.33,5.36,5.39,5.42,5.39
2006-01-10,5.3,5.31,5.33,5.36,5.39,5.42,5.39
2006-01-11,5.3,5.31,5.32,5.36,5.37,5.37,5.3
2006-01-12,5.3,5.3,5.35,5.36,5.37,5.33,5.21
2006-01-13,4.31,4.32,4.47,4.53,4.6,4.73,4.85
2006-01-14,4.31,4.32,4.47,4.53,4.6,4.73,4.85
2006-01-15,4.31,4.32,4.47,4.53,4.6,4.73,4.85
2006-01-16,4.31,4.32,4.48,4.54,4.6,4.72,4.82
2006-01-17,4.35,4.32,4.48,4.54,4.6,4.72,4.82
2006-01-18,4.3,4.32,4.49,4.54,4.6,4.72,4.8
2006-01-19,4.3,4.36,4.51,4.55,4.61,4.73,4.83
2006-01-20,4.29,4.39,4.52,4.56,4.62,4.74,4.84
2006-01-21,4.29,4.39,4.52,4.56,4.62,4.74,4.84
2006-01-22,4.29,4.39,4.52,4.56,4.62,4.74,4.84
2006-01-23,4.3,4.42,4.53,4.57,4.62,4.73,4.82
2006-01-24,4.31,4.46,4.53,4.57,4.63,4.74,4.84
2006-01-25,4.35,4.49,4.54,4.58,4.64,4.75,4.85
2006-01-26,4.41,4.54,4.56,4.6,4.66,4.78,4.89
2006-01-27,4.47,4.55,4.57,4.61,4.67,4.79,4.92
2006-01-28,4.47,4.55,4.57,4.61,4.67,4.79,4.92
2006-01-29,4.47,4.55,4.57,4.61,4.67,4.79,4.92
2006-01-30,4.54,4.55,4.57,4.63,4.68,4.81,4.94
2006-01-31,4.56,4.56,4.57,4.63,4.68,4.81,4.94
2006-02-01,4.56,4.56,4.57,4.63,4.68,4.81,4.94
2006-02-02,4.54,4.55,4.57,4.64,4.71,4.86,5.0
2006-02-03,4.55,4.56,4.66,4.75,4.84,4.99,5.14
2006-02-04,4.55,4.56,4.66,4.75,4.84,4.99,5.14
2006-02-05,4.85,4.97,5.05,5.09,5.15,5.25,5.38
2006-02-06,5.04,5.07,5.14,5.21,5.27,5.38,5.48
2006-02-07,5.04,5.07,5.14,5.21,5.27,5.38,5.48
2006-02-08,5.3,5.34,5.4,5.43,5.47,5.52,5.53
2006-02-09,5.3,5.34,5.4,5.43,5.47,5.52,5.53
2006-02-10,5.31,5.31,5.32,5.35,5.37,5.38,5.32
2006-02-11,5.29,5.31,5.32,5.36,5.37,5.35,5.26
2006-02-12,5.29,5.31,5.32,5.36,5.37,5.35,5.26
2006-02-13,4.54,4.56,4.57,4.68,4.75,4.93,5.1
2006-02-14,4.54,4.56,4.57,4.68,4.75,4.93,5.09
2006-02-15,4.59,4.56,4.57,4.68,4.75,4.93,5.1
2006-02-16,4.55,4.56,4.57,4.69,4.77,4.94,5.1
2006-02-17,4.54,4.56,4.57,4.69,4.77,4.94,5.1
2006-02-18,4.54,4.56,4.57,4.69,4.77,4.94,5.1
2006-02-19,4.54,4.56,4.57,4.69,4.77,4.94,5.1
2006-02-20,4.54,4.56,4.57,4.7,4.77,4.94,5.1
2006-02-21,4.55,4.56,4.57,4.7,4.77,4.94,5.1
2006-02-22,4.55,4.56,4.57,4.7,4.78,4.96,5.13
2006-02-23,4.55,4.56,4.58,4.71,4.8,4.96,5.12
2006-02-24,4.54,4.56,4.61,4.72,4.81,4.98,5.14
2006-02-25,4.54,4.56,4.61,4.72,4.81,4.98,5.14
2006-02-26,4.54,4.56,4.61,4.72,4.81,4.98,5.14
2006-02-27,4.55,4.56,4.63,4.73,4.82,4.99,5.15
2006-02-28,4.6,4.56,4.63,4.73,4.82,4.99,5.15
2006-03-01,4.32,4.32,4.4,4.48,4.54,4.71,4.85
2006-03-02,4.54,4.55,4.57,4.64,4.71,4.86,5.0
2006-03-03,4.54,4.56,4.67,4.76,4.85,5.0,5.16
2006-03-04,4.82,4.81,4.83,4.93,5.0,5.14,5.29
2006-03-05,4.89,5.01,5.06,5.1,5.15,5.25,5.38
2006-03-06,4.89,5.01,5.06,5.1,5.15,5.25,5.38
2006-03-07,5.33,5.32,5.33,5.42,5.48,5.58,5.68
2006-03-08,5.3,5.36,5.41,5.45,5.48,5.53,5.54
2006-03-09,5.3,5.36,5.41,5.45,5.48,5.53,5.54
2006-03-10,5.3,5.31,5.32,5.35,5.37,5.36,5.27
2006-03-11,5.28,5.31,5.32,5.36,5.37,5.36,5.27
2006-03-12,5.28,5.31,5.32,5.36,5.37,5.36,5.27
2006-03-13,4.55,4.57,4.75,4.82,4.91,5.07,5.23
2006-03-14,4.55,4.57,4.75,4.83,4.92,5.07,5.23
2006-03-15,4.59,4.57,4.75,4.83,4.92,5.04,5.16
2006-03-16,4.55,4.62,4.78,4.85,4.93,5.06,5.17
2006-03-17,4.54,4.65,4.78,4.85,4.93,5.03,5.12
2006-03-18,4.54,4.65,4.78,4.85,4.93,5.03,5.12
2006-03-19,4.54,4.65,4.78,4.85,4.93,5.03,5.12
2006-03-20,4.55,4.69,4.79,4.86,4.94,5.03,5.13
2006-03-21,4.58,4.73,4.8,4.86,4.94,5.05,5.14
2006-03-22,4.61,4.76,4.81,4.87,4.95,5.07,5.18
2006-03-23,4.66,4.84,4.82,4.89,4.96,5.08,5.19
2006-03-24,4.72,4.84,4.82,4.9,4.96,5.09,5.21
2006-03-25,4.72,4.84,4.82,4.9,4.96,5.09,5.21
2006-03-26,4.72,4.84,4.82,4.9,4.96,5.09,5.21
2006-03-27,4.79,4.84,4.82,4.9,4.96,5.06,5.17
2006-03-28,4.8,4.85,4.82,4.9,4.96,5.07,5.18
2006-03-29,4.79,4.85,4.83,4.92,4.98,5.11,5.25
2006-03-30,4.8,4.81,4.83,4.92,4.99,5.12,5.25
2006-03-31,4.9,4.81,4.83,4.93,5.0,5.14,5.29
2006-04-01,4.31,4.32,4.4,4.48,4.54,4.68,4.8
2006-04-02,4.31,4.32,4.4,4.48,4.54,4.68,4.8
2006-04-03,4.31,4.32,4.4,4.48,4.54,4.68,4.8
2006-04-04,4.8,4.81,4.84,4.94,5.01,5.16,5.31
2006-04-05,4.96,5.04,5.07,5.11,5.16,5.27,5.4
2006-04-06,4.96,5.04,5.07,5.11,5.16,5.27,5.4
2006-04-07,5.33,5.32,5.33,5.42,5.49,5.59,5.69
2006-04-08,5.3,5.39,5.42,5.46,5.5,5.55,5.57
2006-04-09,5.3,5.31,5.33,5.36,5.39,5.42,5.38
2006-04-10,5.29,5.31,5.32,5.35,5.37,5.37,5.29
2006-04-11,5.29,5.31,5.32,5.35,5.37,5.37,5.29
2006-04-12,5.29,5.3,5.35,5.35,5.35,5.29,5.12
2006-04-13,4.82,4.82,4.91,5.0,5.08,5.22,5.36
2006-04-14,4.82,4.82,4.91,5.0,5.08,5.22,5.36
2006-04-15,4.82,4.82,4.91,5.0,5.08,5.22,5.36
2006-04-16,4.82,4.82,4.91,5.0,5.08,5.22,5.36
2006-04-17,4.82,4.82,4.91,5.0,5.08,5.22,5.36
2006-04-18,4.8,4.82,4.92,5.01,5.08,5.22,5.34
2006-04-19,4.8,4.82,4.93,5.01,5.07,5.19,5.28
2006-04-20,4.79,4.83,4.95,5.03,5.09,5.2,5.31
2006-04-21,4.78,4.84,4.96,5.04,5.1,5.22,5.33
2006-04-22,4.78,4.84,4.96,5.04,5.1,5.22,5.33
2006-04-23,4.78,4.84,4.96,5.04,5.1,5.22,5.33
2006-04-24,4.8,4.85,4.97,5.04,5.11,5.23,5.35
2006-04-25,4.8,4.86,4.99,5.05,5.11,5.22,5.33
2006-04-26,4.81,4.87,5.0,5.06,5.13,5.26,5.38
2006-04-27,4.82,4.91,5.02,5.08,5.15,5.29,5.42
2006-04-28,4.94,4.94,5.04,5.08,5.13,5.22,5.33
2006-04-29,4.94,4.94,5.04,5.08,5.13,5.22,5.33
2006-04-30,4.94,4.94,5.04,5.08,5.13,5.22,5.33
2006-05-01,4.31,4.32,4.42,4.49,4.55,4.68,4.79
2006-05-02,4.31,4.32,4.42,4.49,4.55,4.68,4.79
2006-05-03,4.31,4.32,4.42,4.49,4.55,4.68,4.79
2006-05-04,4.8,4.82,4.84,4.94,5.01,5.16,5.28
2006-05-05,4.98,5.05,5.08,5.12,5.17,5.28,5.42
2006-05-06,5.04,5.06,5.13,5.19,5.24,5.32,5.39
2006-05-07,5.3,5.31,5.34,5.43,5.49,5.59,5.69
2006-05-08,5.3,5.31,5.34,5.43,5.49,5.59,5.69
2006-05-09,5.29,5.31,5.33,5.36,5.39,5.42,5.38
2006-05-10,5.28,5.3,5.32,5.35,5.37,5.36,5.24
2006-05-11,5.28,5.3,5.32,5.35,5.37,5.36,5.24
