,strategy,date,pnl
1,DPE,2006-11-10,97630
2,DPE,2006-11-13,96445
3,DPE,2006-11-14,95062
4,DPE,2006-11-15,91902
5,DPE,2006-11-16,93285
6,DPE,2006-11-17,94272
7,DPE,2006-11-20,93285
8,DPE,2006-11-21,92890
9,DPE,2006-11-22,93285
10,DPE,2006-11-24,93285
11,DPE,2006-11-27,98815
12,DPE,2006-11-28,98617
13,DPE,2006-11-29,96247
14,DPE,2006-11-30,95457
15,DPE,2006-12-01,98222
16,DPE,2006-12-04,94470
17,DPE,2006-12-05,92495
18,DPE,2006-12-06,92692
19,DPE,2006-12-07,92869
20,DPE,2006-12-08,95675
21,DPE,2006-12-11,93709
22,DPE,2006-12-12,98667
23,DPE,2006-12-13,100090
24,DPE,2006-12-14,95527
25,DPE,2006-12-15,95122
26,DPE,2006-12-18,98767
27,DPE,2006-12-19,98767
28,DPE,2006-12-20,98767
29,DPE,2006-12-21,100792
30,DPE,2006-12-22,100792
31,DPE,2006-12-26,101197
32,DPE,2006-12-27,99172
33,DPE,2006-12-28,99982
34,DPE,2006-12-29,103222
35,DPE,2007-01-03,106057
36,DPE,2007-01-04,104417
37,DPE,2007-01-05,110097
38,DPE,2007-01-08,112147
39,DPE,2007-01-09,112967
40,DPE,2007-01-10,113787
41,DPE,2007-01-11,113377
42,DPE,2007-01-12,114607
43,DPE,2007-01-16,115837
44,DPE,2007-01-17,116657
45,DPE,2007-01-18,119527
46,DPE,2007-01-19,118707
47,DPE,2007-01-22,123627
48,DPE,2007-01-23,121987
49,DPE,2007-01-24,120552
50,DPE,2007-01-25,123627
51,DPE,2007-01-26,122397
52,DPE,2007-01-29,121782
53,DPE,2007-01-30,118912
54,DPE,2007-01-31,117477
55,DPE,2007-02-01,115017
56,DPE,2007-02-02,113787
57,DPE,2007-02-05,115837
58,DPE,2007-02-06,114412
59,DPE,2007-02-07,109112
60,DPE,2007-02-08,110117
61,DPE,2007-02-09,117262
62,DPE,2007-02-12,121107
63,DPE,2007-02-13,113777
64,DPE,2007-02-14,113152
65,DPE,2007-02-15,109697
66,DPE,2007-02-16,111297
67,DPE,2007-02-20,107297
68,DPE,2007-02-21,107497
69,DPE,2007-02-22,108297
70,DPE,2007-02-23,108897
71,DPE,2007-02-26,109697
72,DPE,2007-02-27,115697
73,DPE,2007-02-28,117697
74,DPE,2007-03-01,118497
75,DPE,2007-03-02,116097
76,DPE,2007-03-05,115697
77,DPE,2007-03-06,115262
