,strategy_code,trade nr.,expiration,entry_date,strikes,entry_price,exit_date,DIT,DTE,pnl,max risk,position size,percentage,exit
1,DPE,1,2007-01-20,2006-11-09,760/730/690,2.6,2006-12-04,25,47,-5529,-99540,79,-5.55%,ew
2,DPE,2,2007-02-17,2006-12-06,800/770/730,2.25,2007-01-05,30,43,18224,-99225,81,18.37%,tp
3,DPE,3,2007-03-17,2007-01-03,790/760/720,2.1,2007-02-08,36,37,0,-99220,82,0.0%,ew
4,DPE,4,2007-04-21,2007-02-05,810/780/740,2.45,2007-03-05,28,47,5600,-99600,80,5.62%,le
5,DPE,5,2007-05-19,2007-03-05,760/730/690,1.4,2007-04-09,35,40,-5220,-99180,87,-5.26%,ew
6,DPE,6,2007-06-16,2007-04-04,810/780/740,1.85,2007-05-22,48,25,-3569,-99540,84,-3.59%,ue
7,DPE,7,2007-07-21,2007-05-08,830/800/760,1.85,2007-06-20,43,31,13860,-99540,84,13.92%,tp
8,DPE,8,2007-08-18,2007-06-05,850/820/780,1.9,2007-07-18,43,31,14280,-99960,84,14.29%,tp
9,DPE,9,2007-09-22,2007-07-10,840/810/770,1.4,2007-07-26,16,58,1740,-99180,87,1.75%,le
10,DPE,10,2007-10-20,2007-08-09,790/760/720,0.35,2007-09-24,46,26,19680,-99360,96,19.81%,tp
11,DPE,11,2007-11-17,2007-09-05,790/760/720,0.2,2007-10-09,34,39,6860,-99960,98,6.86%,ue
12,DPE,12,2007-12-22,2007-10-08,840/810/770,1.0,2007-11-01,24,51,450,-99000,90,0.45%,le
13,DPE,13,2008-01-19,2007-11-05,790/760/720,0.15,2007-11-20,15,60,3429,-99470,98,3.45%,le
14,DPE,14,2008-02-16,2007-12-03,760/730/690,0.3,2008-01-08,36,39,11640,-99910,97,11.65%,le
15,DPE,15,2008-03-22,2008-01-07,720/690/650,0.55,2008-01-18,11,64,4230,-99170,94,4.27%,le
16,DPE,16,2008-04-19,2008-02-04,720/690/650,0.45,2008-03-06,31,44,5225,-99275,95,5.26%,le
17,DPE,17,2008-05-17,2008-03-03,680/650/610,0.7,2008-04-08,36,39,11857,-99509,93,11.92%,ue
18,DPE,18,2008-06-21,2008-04-07,710/680/640,0.95,2008-05-15,38,37,8189,-99645,91,8.22%,ue
19,DPE,19,2008-07-19,2008-05-05,720/690/650,1.45,2008-06-18,44,31,15877,-99615,87,15.94%,tp
20,DPE,20,2008-08-16,2008-06-02,740/710/670,1.25,2008-06-27,25,50,7919,-99000,88,8.0%,le
21,DPE,21,2008-09-20,2008-07-07,660/630/590,1.25,2008-08-05,29,46,660,-99000,88,0.67%,ew
22,DPE,22,2008-10-18,2008-08-04,700/670/630,1.1,2008-09-18,45,30,16649,-99900,90,16.67%,tp
23,DPE,23,2008-11-22,2008-09-09,710/680/640,0.85,2008-09-29,20,54,-13800,-99820,92,-13.82%,le
24,DPE,24,2008-12-20,2008-10-06,590/560/520,-0.9,2008-10-09,3,72,-20709,-99190,109,-20.88%,le
25,DPE,25,2009-01-17,2008-11-05,520/490/450,-0.3,2008-11-12,7,66,-9270,-99910,103,-9.28%,le
26,DPE,26,2009-02-21,2008-12-09,470/440/400,-0.7,2009-01-02,24,50,21934,-99510,107,22.04%,tp
27,DPE,27,2009-03-21,2009-01-05,500/470/430,0.4,2009-01-14,9,66,-4800,-99840,96,-4.81%,le
