date,pnl
2008-04-08,900.00
2008-04-09,-1350.00
2008-04-10,1350.00
2008-04-11,-900.00
2008-04-14,1350.00
2008-04-15,0.00
2008-04-16,3600.00
2008-04-17,450.00
2008-04-18,900.00
2008-04-21,900.00
2008-04-22,450.00
2008-04-23,1800.00
2008-04-24,450.00
2008-04-25,1350.00
2008-04-28,-900.00
2008-04-29,1350.00
2008-04-30,-450.00
2008-05-01,-900.00
2008-05-02,1800.00
2008-05-05,0.00
2008-05-06,-1350.00
2008-05-07,4500.00
2008-05-08,900.00
2008-05-09,0.00
2008-05-12,-4725.00
2008-05-13,450.00
2008-05-14,1350.00
2008-05-15,-4725.00
