date,pnl
2012-03-06,-455.00
2012-03-07,910.00
2012-03-08,-0.00
2012-03-09,0.00
2012-03-12,2275.00
2012-03-13,-910.00
2012-03-14,-910.00
2012-03-15,-910.00
2012-03-16,3185.00
2012-03-19,-910.00
2012-03-20,910.00
2012-03-21,1365.00
2012-03-22,910.00
2012-03-23,1820.00
2012-03-26,-3185.00
2012-03-27,-455.00
2012-03-28,910.00
2012-03-29,455.00
2012-03-30,1365.00
2012-04-02,-1820.00
2012-04-03,2275.00
2012-04-04,3185.00
2012-04-05,2275.00
2012-04-09,1820.00
2012-04-10,-455.00
2012-04-11,1820.00
2012-04-12,-2730.00
2012-04-13,2730.00
2012-04-16,-1365.00
2012-04-17,-2730.00
2012-04-18,5915.00
