date,pnl
2014-11-04,0.00
2014-11-05,1860.00
2014-11-06,-465.00
2014-11-07,1860.00
2014-11-10,2325.00
2014-11-11,465.00
2014-11-12,-3255.00
2014-11-13,4650.00
2014-11-14,465.00
2014-11-17,-465.00
2014-11-18,-465.00
2014-11-19,1860.00
2014-11-20,-0.00
2014-11-21,0.00
2014-11-24,-465.00
2014-11-25,2325.00
2014-11-26,-2325.00
2014-11-28,930.00
2014-12-01,1860.00
2014-12-02,930.00
2014-12-03,-2325.00
2014-12-04,3255.00
2014-12-05,-1395.00
2014-12-08,1860.00
2014-12-09,-2790.00
2014-12-10,1395.00
2014-12-11,-3720.00
2014-12-12,3255.00
2014-12-15,-2790.00
2014-12-16,4650.00
2014-12-17,465.00
2014-12-18,-2790.00
2014-12-19,-3255.00
2014-12-22,1162.50
