date,pnl
2009-05-05,0.00
2009-05-06,900.00
2009-05-07,-450.00
2009-05-08,1350.00
2009-05-11,2700.00
2009-05-12,-0.00
2009-05-13,-2700.00
2009-05-14,1800.00
2009-05-15,450.00
2009-05-18,4950.00
2009-05-19,900.00
2009-05-20,450.00
2009-05-21,-2250.00
2009-05-22,2250.00
2009-05-26,450.00
2009-05-27,1350.00
2009-05-28,900.00
2009-05-29,1350.00
2009-06-01,-4500.00
2009-06-02,-450.00
2009-06-03,900.00
2009-06-04,-1350.00
2009-06-05,450.00
2009-06-08,450.00
2009-06-09,-450.00
2009-06-10,4725.00
2009-06-11,-2025.00
2009-06-12,0.00
2009-06-15,7200.00
