date,pnl
2007-04-10,-0.00
2007-04-11,1640.00
2007-04-12,-1230.00
2007-04-13,-410.00
2007-04-16,-2870.00
2007-04-17,2870.00
2007-04-18,-820.00
2007-04-19,2050.00
2007-04-20,-2460.00
2007-04-23,410.00
2007-04-24,1640.00
2007-04-25,-3280.00
2007-04-26,1025.00
2007-04-27,1435.00
2007-04-30,5330.00
2007-05-01,410.00
2007-05-02,-4715.00
2007-05-03,-1435.00
2007-05-04,-0.00
2007-05-07,-615.00
2007-05-08,410.00
2007-05-09,-615.00
2007-05-10,7175.00
2007-05-11,-4305.00
2007-05-14,3690.00
2007-05-15,3895.00
2007-05-16,-820.00
2007-05-17,3075.00
2007-05-18,-5330.00
2007-05-21,-6765.00
2007-05-22,-3690.00
