date,pnl
2013-05-14,-1680.00
2013-05-15,-1260.00
2013-05-16,1680.00
2013-05-17,-0.00
2013-05-20,-420.00
2013-05-21,-420.00
2013-05-22,2520.00
2013-05-23,-420.00
2013-05-24,420.00
2013-05-28,-1680.00
2013-05-29,1680.00
2013-05-30,-420.00
2013-05-31,-840.00
2013-06-03,420.00
2013-06-04,0.00
2013-06-05,2520.00
2013-06-06,-420.00
2013-06-07,1680.00
2013-06-10,-840.00
2013-06-11,420.00
2013-06-12,420.00
2013-06-13,-1260.00
2013-06-14,1680.00
2013-06-17,-0.00
2013-06-18,-1890.00
2013-06-19,2730.00
2013-06-20,5040.00
2013-06-21,2940.00
2013-06-24,2940.00
