date,pnl
2009-07-07,-1230.00
2009-07-08,820.00
2009-07-09,2460.00
2009-07-10,0.00
2009-07-13,-410.00
2009-07-14,820.00
2009-07-15,-3280.00
2009-07-16,-1640.00
2009-07-17,2460.00
2009-07-20,-1845.00
2009-07-21,1435.00
2009-07-22,-820.00
2009-07-23,-4100.00
2009-07-24,820.00
2009-07-27,-615.00
2009-07-28,615.00
2009-07-29,-410.00
2009-07-30,-2255.00
2009-07-31,820.00
2009-08-03,-2255.00
2009-08-04,-1230.00
2009-08-05,205.00
2009-08-06,1845.00
2009-08-07,-3690.00
2009-08-10,-0.00
2009-08-11,1230.00
