date,pnl
2013-11-06,-1290.00
2013-11-07,-430.00
2013-11-08,1720.00
2013-11-11,860.00
2013-11-12,-0.00
2013-11-13,0.00
2013-11-14,430.00
2013-11-15,0.00
2013-11-18,860.00
2013-11-19,-0.00
2013-11-20,1290.00
2013-11-21,-2150.00
2013-11-22,430.00
2013-11-25,860.00
2013-11-26,-2150.00
2013-11-27,-860.00
2013-11-29,-1720.00
2013-12-02,4300.00
2013-12-03,2150.00
2013-12-04,-860.00
2013-12-05,0.00
2013-12-06,-860.00
2013-12-09,1290.00
2013-12-10,860.00
2013-12-11,7310.00
2013-12-12,-2150.00
2013-12-13,1720.00
2013-12-16,-5160.00
2013-12-17,860.00
2013-12-18,-4730.00
