date,pnl
2009-09-15,810.00
2009-09-16,-3240.00
2009-09-17,405.00
2009-09-18,-810.00
2009-09-21,1215.00
2009-09-22,-405.00
2009-09-23,1215.00
2009-09-24,2025.00
2009-09-25,2430.00
2009-09-28,-1620.00
2009-09-29,0.00
2009-09-30,2025.00
2009-10-01,-810.00
2009-10-02,1620.00
2009-10-05,2430.00
2009-10-06,-405.00
2009-10-07,405.00
2009-10-08,-1620.00
2009-10-09,-810.00
2009-10-12,-405.00
2009-10-13,3240.00
2009-10-14,-4860.00
2009-10-15,0.00
2009-10-16,3645.00
2009-10-19,-607.50
2009-10-20,3442.50
2009-10-21,5467.50
