date,pnl
2014-11-10,1800.00
2014-11-11,450.00
2014-11-12,-3150.00
2014-11-13,4500.00
2014-11-14,450.00
2014-11-17,-450.00
2014-11-18,-450.00
2014-11-19,1800.00
2014-11-20,-0.00
2014-11-21,0.00
2014-11-24,-450.00
2014-11-25,2250.00
2014-11-26,-2250.00
2014-11-28,900.00
2014-12-01,1800.00
2014-12-02,900.00
2014-12-03,-2250.00
2014-12-04,3150.00
2014-12-05,-1350.00
2014-12-08,1800.00
2014-12-09,-2700.00
2014-12-10,1350.00
2014-12-11,-3600.00
2014-12-12,3150.00
2014-12-15,-2700.00
2014-12-16,4500.00
2014-12-17,450.00
2014-12-18,-2700.00
2014-12-19,-3150.00
2014-12-22,1125.00
