date,pnl
2016-04-05,-1350.00
2016-04-06,1350.00
2016-04-07,-1800.00
2016-04-08,450.00
2016-04-11,1800.00
2016-04-12,1800.00
2016-04-13,0.00
2016-04-14,900.00
2016-04-15,-900.00
2016-04-18,1350.00
2016-04-19,-0.00
2016-04-20,450.00
2016-04-21,450.00
2016-04-22,-1800.00
2016-04-25,900.00
2016-04-26,-1800.00
2016-04-27,900.00
2016-04-28,1350.00
2016-04-29,-0.00
2016-05-02,-450.00
2016-05-03,2250.00
2016-05-04,3150.00
2016-05-05,1350.00
2016-05-06,2250.00
2016-05-09,0.00
2016-05-10,-1800.00
2016-05-11,3150.00
2016-05-12,1350.00
2016-05-13,3150.00
