date,pnl
2017-01-04,480.00
2017-01-05,1440.00
2017-01-06,1920.00
2017-01-09,1920.00
2017-01-10,480.00
2017-01-11,-960.00
2017-01-12,1440.00
2017-01-13,960.00
2017-01-17,960.00
2017-01-18,3840.00
2017-01-19,-1920.00
2017-01-20,2880.00
2017-01-23,-0.00
2017-01-24,1440.00
2017-01-25,960.00
2017-01-26,480.00
2017-01-27,-0.00
2017-01-30,-960.00
2017-01-31,-1920.00
2017-02-01,3360.00
2017-02-02,-480.00
2017-02-03,-480.00
2017-02-06,960.00
2017-02-07,-0.00
2017-02-08,1440.00
2017-02-09,-960.00
2017-02-10,-2880.00
2017-02-13,480.00
