date,pnl
2015-01-06,-980.00
2015-01-07,1470.00
2015-01-08,1470.00
2015-01-09,490.00
2015-01-12,-490.00
2015-01-13,-2450.00
2015-01-14,-980.00
2015-01-15,-0.00
2015-01-16,2940.00
2015-01-20,2450.00
2015-01-21,2450.00
2015-01-22,490.00
2015-01-23,0.00
2015-01-26,980.00
2015-01-27,-1470.00
2015-01-28,980.00
2015-01-29,2940.00
2015-01-30,-9310.00
2015-02-02,5880.00
2015-02-03,2450.00
2015-02-04,490.00
2015-02-05,-1960.00
2015-02-06,1470.00
2015-02-09,1960.00
2015-02-10,-490.00
2015-02-11,490.00
2015-02-12,980.00
