date,pnl
2011-02-03,860.00
2011-02-04,1290.00
2011-02-07,-1720.00
2011-02-08,-1290.00
2011-02-09,0.00
2011-02-10,-1290.00
2011-02-11,860.00
2011-02-14,2150.00
2011-02-15,-2150.00
2011-02-16,430.00
2011-02-17,-860.00
2011-02-18,-1720.00
2011-02-22,-430.00
2011-02-23,5590.00
2011-02-24,2150.00
2011-02-25,-1290.00
2011-02-28,-1720.00
2011-03-01,860.00
2011-03-02,-860.00
2011-03-03,-2150.00
2011-03-04,1720.00
2011-03-07,2150.00
2011-03-08,-3440.00
2011-03-09,1290.00
2011-03-10,2150.00
2011-03-11,1720.00
2011-03-14,3440.00
2011-03-15,-430.00
2011-03-16,-1720.00
2011-03-17,2150.00
2011-03-18,3440.00
2011-03-21,-4730.00
2011-03-22,3655.00
2011-03-23,215.00
2011-03-24,-2795.00
2011-03-25,-2150.00
2011-03-28,1505.00
