date,pnl
2016-09-07,-460.00
2016-09-08,1380.00
2016-09-09,460.00
2016-09-12,0.00
2016-09-13,-4140.00
2016-09-14,1380.00
2016-09-15,920.00
2016-09-16,1840.00
2016-09-19,-460.00
2016-09-20,460.00
2016-09-21,920.00
2016-09-22,460.00
2016-09-23,1840.00
2016-09-26,0.00
2016-09-27,1380.00
2016-09-28,-1380.00
2016-09-29,0.00
2016-09-30,1840.00
2016-10-03,1840.00
2016-10-04,-2300.00
2016-10-05,460.00
2016-10-06,2760.00
2016-10-07,0.00
2016-10-10,460.00
2016-10-11,1380.00
2016-10-12,460.00
2016-10-13,1380.00
2016-10-14,2300.00
