date,pnl
2007-08-09,-3255.00
2007-08-10,-1860.00
2007-08-13,3255.00
2007-08-14,-1395.00
2007-08-15,2790.00
2007-08-16,0.00
2007-08-17,-3255.00
2007-08-20,2325.00
2007-08-21,2790.00
2007-08-22,465.00
2007-08-23,-0.00
2007-08-24,465.00
2007-08-27,1860.00
2007-08-28,-2325.00
2007-08-29,465.00
2007-08-30,0.00
2007-08-31,465.00
2007-09-04,930.00
2007-09-05,-465.00
2007-09-06,-930.00
2007-09-07,-2325.00
2007-09-10,2790.00
2007-09-11,2325.00
2007-09-12,930.00
2007-09-13,-930.00
2007-09-14,2325.00
2007-09-17,0.00
2007-09-18,1860.00
2007-09-19,-1395.00
2007-09-20,2790.00
2007-09-21,-930.00
2007-09-24,6975.00
