date,pnl
2011-02-08,425.00
2011-02-09,-425.00
2011-02-10,1275.00
2011-02-11,850.00
2011-02-14,-425.00
2011-02-15,-1700.00
2011-02-16,-2125.00
2011-02-17,0.00
2011-02-18,850.00
2011-02-22,-850.00
2011-02-23,4250.00
2011-02-24,425.00
2011-02-25,-1275.00
2011-02-28,0.00
2011-03-01,1275.00
2011-03-02,-1700.00
2011-03-03,-1700.00
2011-03-04,2125.00
2011-03-07,1700.00
2011-03-08,-3825.00
2011-03-09,850.00
2011-03-10,2125.00
2011-03-11,2125.00
2011-03-14,3400.00
2011-03-15,1275.00
2011-03-16,-2125.00
2011-03-17,3825.00
2011-03-18,2975.00
