date,pnl
2016-08-11,-0.00
2016-08-12,900.00
2016-08-15,450.00
2016-08-16,-1800.00
2016-08-17,1800.00
2016-08-18,0.00
2016-08-19,-0.00
2016-08-22,450.00
2016-08-23,-2250.00
2016-08-24,1800.00
2016-08-25,-900.00
2016-08-26,900.00
2016-08-29,0.00
2016-08-30,-900.00
2016-08-31,450.00
2016-09-01,1350.00
2016-09-02,-900.00
2016-09-06,-1350.00
2016-09-07,0.00
2016-09-08,-900.00
2016-09-09,4500.00
2016-09-12,900.00
2016-09-13,450.00
2016-09-14,0.00
2016-09-15,450.00
2016-09-16,3150.00
2016-09-19,-1350.00
2016-09-20,900.00
2016-09-21,-1350.00
2016-09-22,-5850.00
