date,pnl
2014-11-06,-910.00
2014-11-07,1820.00
2014-11-10,2275.00
2014-11-11,455.00
2014-11-12,-3185.00
2014-11-13,4550.00
2014-11-14,455.00
2014-11-17,-455.00
2014-11-18,-455.00
2014-11-19,1820.00
2014-11-20,-0.00
2014-11-21,-0.00
2014-11-24,-455.00
2014-11-25,2275.00
2014-11-26,-2275.00
2014-11-28,910.00
2014-12-01,1820.00
2014-12-02,910.00
2014-12-03,-2275.00
2014-12-04,3185.00
2014-12-05,-1365.00
2014-12-08,1820.00
2014-12-09,-2730.00
2014-12-10,1365.00
2014-12-11,-3640.00
2014-12-12,3185.00
2014-12-15,-2730.00
2014-12-16,4550.00
2014-12-17,455.00
2014-12-18,-2730.00
2014-12-19,-3185.00
2014-12-22,1137.50
