date,pnl
2007-06-12,830.00
2007-06-13,-1660.00
2007-06-14,415.00
2007-06-15,-2905.00
2007-06-18,1245.00
2007-06-19,830.00
2007-06-20,830.00
2007-06-21,-0.00
2007-06-22,-0.00
2007-06-25,830.00
2007-06-26,-0.00
2007-06-27,1660.00
2007-06-28,-1660.00
2007-06-29,830.00
2007-07-02,-1245.00
2007-07-03,-2075.00
2007-07-05,1660.00
2007-07-06,-415.00
2007-07-09,-207.50
2007-07-10,5187.50
2007-07-11,-415.00
2007-07-12,-4357.50
2007-07-13,-1660.00
2007-07-16,4150.00
2007-07-17,-1037.50
2007-07-18,4565.00
2007-07-19,-4565.00
