date,pnl
2015-10-13,-5915.00
2015-10-14,6825.00
2015-10-15,-0.00
2015-10-16,-455.00
2015-10-19,910.00
2015-10-20,0.00
2015-10-21,-455.00
2015-10-22,910.00
2015-10-23,910.00
2015-10-26,1365.00
2015-10-27,1820.00
2015-10-28,-2275.00
2015-10-29,3640.00
2015-10-30,-910.00
2015-11-02,-2275.00
2015-11-03,-1820.00
2015-11-04,1820.00
2015-11-05,-1365.00
2015-11-06,455.00
2015-11-09,-910.00
2015-11-10,1365.00
2015-11-11,3640.00
2015-11-12,910.00
2015-11-13,0.00
2015-11-16,3185.00
2015-11-17,-910.00
2015-11-18,2275.00
2015-11-19,3640.00
