date,pnl
2007-06-07,420.00
2007-06-08,2100.00
2007-06-11,420.00
2007-06-12,-1260.00
2007-06-13,0.00
2007-06-14,840.00
2007-06-15,-2520.00
2007-06-18,840.00
2007-06-19,840.00
2007-06-20,1680.00
2007-06-21,-840.00
2007-06-22,-840.00
2007-06-25,2100.00
2007-06-26,840.00
2007-06-27,1260.00
2007-06-28,0.00
2007-06-29,-2100.00
2007-07-02,-420.00
2007-07-03,420.00
2007-07-05,840.00
2007-07-06,-420.00
2007-07-09,0.00
2007-07-10,2520.00
2007-07-11,2520.00
2007-07-12,-5880.00
2007-07-13,-0.00
2007-07-16,3780.00
2007-07-17,-1890.00
2007-07-18,5250.00
2007-07-19,-4830.00
