date,pnl
2017-03-13,445.00
2017-03-14,445.00
2017-03-15,-445.00
2017-03-16,1335.00
2017-03-17,-890.00
2017-03-20,1335.00
2017-03-21,-0.00
2017-03-22,1335.00
2017-03-23,-1335.00
2017-03-24,890.00
2017-03-27,2225.00
2017-03-28,2225.00
2017-03-29,445.00
2017-03-30,-890.00
2017-03-31,-3560.00
2017-04-03,1780.00
2017-04-04,2670.00
2017-04-05,0.00
2017-04-06,-1335.00
2017-04-07,445.00
2017-04-10,-445.00
2017-04-11,445.00
2017-04-12,-2225.00
2017-04-13,445.00
2017-04-17,7565.00
2017-04-18,-2225.00
2017-04-19,-1780.00
2017-04-20,-1780.00
2017-04-21,-1780.00
2017-04-24,-6007.50
