date,pnl
2008-08-07,860.00
2008-08-08,-430.00
2008-08-11,-2150.00
2008-08-12,-860.00
2008-08-13,1720.00
2008-08-14,-860.00
2008-08-15,1290.00
2008-08-18,-430.00
2008-08-19,1720.00
2008-08-20,430.00
2008-08-21,2150.00
2008-08-22,-0.00
2008-08-25,1290.00
2008-08-26,-430.00
2008-08-27,1720.00
2008-08-28,-1720.00
2008-08-29,1720.00
2008-09-02,0.00
2008-09-03,430.00
2008-09-04,860.00
2008-09-05,2150.00
2008-09-08,860.00
2008-09-09,-2150.00
2008-09-10,3010.00
2008-09-11,-1720.00
2008-09-12,-430.00
2008-09-15,-2580.00
2008-09-16,4730.00
2008-09-17,-11610.00
