date,pnl
2017-06-06,-1290.00
2017-06-07,-0.00
2017-06-08,860.00
2017-06-09,-1720.00
2017-06-12,-430.00
2017-06-13,0.00
2017-06-14,5160.00
2017-06-15,-3010.00
2017-06-16,5160.00
2017-06-19,430.00
2017-06-20,-1290.00
2017-06-21,0.00
2017-06-22,3010.00
2017-06-23,-3440.00
2017-06-26,860.00
2017-06-27,-0.00
2017-06-28,-1720.00
2017-06-29,860.00
2017-06-30,0.00
2017-07-03,860.00
2017-07-05,-0.00
2017-07-06,3440.00
2017-07-07,-1290.00
2017-07-10,1720.00
2017-07-11,-860.00
2017-07-12,-1720.00
2017-07-13,0.00
2017-07-14,-5590.00
