date,pnl
2016-08-15,-2175.00
2016-08-16,870.00
2016-08-17,870.00
2016-08-18,1305.00
2016-08-19,-435.00
2016-08-22,435.00
2016-08-23,-870.00
2016-08-24,-435.00
2016-08-25,435.00
2016-08-26,-870.00
2016-08-29,870.00
2016-08-30,-435.00
2016-08-31,1740.00
2016-09-01,-1305.00
2016-09-02,-870.00
2016-09-06,435.00
2016-09-07,-870.00
2016-09-08,435.00
2016-09-09,4785.00
2016-09-12,-0.00
2016-09-13,435.00
2016-09-14,870.00
2016-09-15,435.00
2016-09-16,1305.00
2016-09-19,-435.00
2016-09-20,435.00
2016-09-21,-1305.00
2016-09-22,-5220.00
