,strategy,date,pnl
1,DPE,2006-11-10,98025.00
2,DPE,2006-11-13,96840.00
3,DPE,2006-11-14,95457.50
4,DPE,2006-11-15,92297.50
5,DPE,2006-11-16,93680.00
6,DPE,2006-11-17,94667.50
7,DPE,2006-11-20,93680.00
8,DPE,2006-11-21,93285.00
9,DPE,2006-11-22,93680.00
10,DPE,2006-11-24,93680.00
11,DPE,2006-11-27,99210.00
12,DPE,2006-11-28,99012.50
13,DPE,2006-11-29,96642.50
14,DPE,2006-11-30,95852.50
15,DPE,2006-12-01,98617.50
16,DPE,2006-12-04,94865.00
17,DPE,2006-12-07,94460.00
18,DPE,2006-12-08,96080.00
19,DPE,2006-12-11,96485.00
20,DPE,2006-12-12,97295.00
21,DPE,2006-12-13,98915.00
22,DPE,2006-12-14,98105.00
23,DPE,2006-12-15,97700.00
24,DPE,2006-12-18,101345.00
25,DPE,2006-12-19,101345.00
26,DPE,2006-12-20,101345.00
27,DPE,2006-12-21,103370.00
28,DPE,2006-12-22,103370.00
29,DPE,2006-12-26,103775.00
30,DPE,2006-12-27,101750.00
31,DPE,2006-12-28,102560.00
32,DPE,2006-12-29,105800.00
33,DPE,2007-01-03,108635.00
34,DPE,2007-01-04,107405.00
35,DPE,2007-01-05,113085.00
36,DPE,2007-01-08,115135.00
37,DPE,2007-01-09,115955.00
38,DPE,2007-01-10,116775.00
39,DPE,2007-01-11,116365.00
40,DPE,2007-01-12,117595.00
41,DPE,2007-01-16,118825.00
42,DPE,2007-01-17,119645.00
43,DPE,2007-01-18,122515.00
44,DPE,2007-01-19,121695.00
45,DPE,2007-01-22,126615.00
46,DPE,2007-01-23,124975.00
47,DPE,2007-01-24,123540.00
48,DPE,2007-01-25,126615.00
49,DPE,2007-01-26,125385.00
50,DPE,2007-01-29,124770.00
51,DPE,2007-01-30,121900.00
52,DPE,2007-01-31,120465.00
53,DPE,2007-02-01,118005.00
54,DPE,2007-02-02,116775.00
55,DPE,2007-02-05,118825.00
56,DPE,2007-02-06,117800.00
57,DPE,2007-02-07,113700.00
58,DPE,2007-02-08,113905.00
59,DPE,2007-02-12,115485.00
60,DPE,2007-02-13,113510.00
61,DPE,2007-02-14,113905.00
62,DPE,2007-02-15,112720.00
63,DPE,2007-02-16,114300.00
64,DPE,2007-02-20,110350.00
65,DPE,2007-02-21,110547.50
66,DPE,2007-02-22,111337.50
67,DPE,2007-02-23,111930.00
68,DPE,2007-02-26,112720.00
69,DPE,2007-02-27,118645.00
70,DPE,2007-02-28,120620.00
71,DPE,2007-03-01,121410.00
72,DPE,2007-03-02,119040.00
73,DPE,2007-03-05,118645.00
74,DPE,2007-03-08,119065.00
75,DPE,2007-03-09,119905.00
76,DPE,2007-03-12,119065.00
77,DPE,2007-03-13,122005.00
78,DPE,2007-03-14,118645.00
79,DPE,2007-03-15,117805.00
80,DPE,2007-03-16,119065.00
81,DPE,2007-03-19,119065.00
82,DPE,2007-03-20,119485.00
83,DPE,2007-03-21,116125.00
84,DPE,2007-03-22,116125.00
85,DPE,2007-03-23,115285.00
86,DPE,2007-03-26,116125.00
87,DPE,2007-03-27,117805.00
88,DPE,2007-03-28,119065.00
89,DPE,2007-03-29,116965.00
90,DPE,2007-03-30,117385.00
91,DPE,2007-04-02,117385.00
92,DPE,2007-04-03,115285.00
93,DPE,2007-04-04,115495.00
94,DPE,2007-04-05,114865.00
95,DPE,2007-04-09,115915.00
96,DPE,2007-04-10,116125.00
97,DPE,2007-04-11,117805.00
98,DPE,2007-04-12,116545.00
99,DPE,2007-04-13,116125.00
100,DPE,2007-04-16,113185.00
101,DPE,2007-04-17,116125.00
102,DPE,2007-04-18,115285.00
103,DPE,2007-04-19,117385.00
104,DPE,2007-04-20,114865.00
105,DPE,2007-04-23,115285.00
106,DPE,2007-04-24,116965.00
107,DPE,2007-04-25,113605.00
108,DPE,2007-04-26,114655.00
109,DPE,2007-04-27,116125.00
110,DPE,2007-04-30,121585.00
111,DPE,2007-05-01,122005.00
112,DPE,2007-05-02,117175.00
113,DPE,2007-05-03,115705.00
114,DPE,2007-05-04,115705.00
115,DPE,2007-05-07,115075.00
116,DPE,2007-05-08,115495.00
117,DPE,2007-05-09,114865.00
118,DPE,2007-05-10,122215.00
119,DPE,2007-05-11,115705.00
120,DPE,2007-05-14,122005.00
121,DPE,2007-05-15,128095.00
122,DPE,2007-05-16,127255.00
123,DPE,2007-05-17,132085.00
124,DPE,2007-05-18,125785.00
125,DPE,2007-05-21,116335.00
126,DPE,2007-05-22,111085.00
127,DPE,2007-05-23,112975.00
128,DPE,2007-05-24,118015.00
129,DPE,2007-05-25,115915.00
130,DPE,2007-05-29,114235.00
131,DPE,2007-05-30,112765.00
132,DPE,2007-05-31,111715.00
133,DPE,2007-06-01,110035.00
134,DPE,2007-06-04,108775.00
135,DPE,2007-06-05,112555.00
136,DPE,2007-06-06,113815.00
137,DPE,2007-06-07,118855.00
138,DPE,2007-06-08,119485.00
139,DPE,2007-06-11,121165.00
140,DPE,2007-06-12,124315.00
141,DPE,2007-06-13,122215.00
142,DPE,2007-06-14,119905.00
143,DPE,2007-06-15,111715.00
144,DPE,2007-06-18,113395.00
145,DPE,2007-06-19,113815.00
146,DPE,2007-06-20,123685.00
147,DPE,2007-06-21,122005.00
148,DPE,2007-06-22,127045.00
149,DPE,2007-06-25,129145.00
150,DPE,2007-06-26,129985.00
151,DPE,2007-06-27,131245.00
152,DPE,2007-06-28,131245.00
153,DPE,2007-06-29,129145.00
154,DPE,2007-07-02,128725.00
155,DPE,2007-07-03,129145.00
156,DPE,2007-07-05,129985.00
157,DPE,2007-07-06,129565.00
158,DPE,2007-07-09,129565.00
159,DPE,2007-07-10,132085.00
160,DPE,2007-07-11,134605.00
161,DPE,2007-07-12,128725.00
162,DPE,2007-07-13,128725.00
163,DPE,2007-07-16,132505.00
164,DPE,2007-07-17,131055.00
165,DPE,2007-07-18,136305.00
166,DPE,2007-07-19,131035.00
167,DPE,2007-08-10,128635.00
168,DPE,2007-08-13,131995.00
169,DPE,2007-08-14,130555.00
170,DPE,2007-08-15,133435.00
171,DPE,2007-08-16,133435.00
172,DPE,2007-08-17,130075.00
173,DPE,2007-08-20,132475.00
174,DPE,2007-08-21,135355.00
175,DPE,2007-08-22,135835.00
176,DPE,2007-09-06,136805.00
177,DPE,2007-09-07,132925.00
178,DPE,2007-09-10,132925.00
179,DPE,2007-09-11,136805.00
180,DPE,2007-09-12,136320.00
181,DPE,2007-09-13,137290.00
182,DPE,2007-09-14,136320.00
183,DPE,2007-09-17,136805.00
184,DPE,2007-09-18,142140.00
185,DPE,2007-10-11,140805.00
186,DPE,2007-10-12,141250.00
187,DPE,2007-10-15,143030.00
188,DPE,2007-10-16,142140.00
189,DPE,2007-10-17,143920.00
190,DPE,2007-10-18,143030.00
191,DPE,2007-10-19,139915.00
192,DPE,2007-10-22,142140.00
193,DPE,2007-10-23,144365.00
194,DPE,2007-10-24,145700.00
195,DPE,2007-10-25,144365.00
196,DPE,2007-10-26,145255.00
197,DPE,2007-10-29,145700.00
198,DPE,2007-10-30,144365.00
199,DPE,2007-10-31,147035.00
200,DPE,2007-11-01,142140.00
201,DPE,2007-11-08,145900.00
202,DPE,2007-12-10,147760.00
203,DPE,2008-01-10,148680.00
204,DPE,2008-01-11,147300.00
205,DPE,2008-01-14,149140.00
206,DPE,2008-01-15,149140.00
207,DPE,2008-01-16,150060.00
208,DPE,2008-01-17,148680.00
209,DPE,2008-01-18,149140.00
210,DPE,2008-01-22,150980.00
211,DPE,2008-01-23,156040.00
212,DPE,2008-01-24,152820.00
213,DPE,2008-01-25,151900.00
214,DPE,2008-01-28,151900.00
215,DPE,2008-01-29,152360.00
216,DPE,2008-01-30,154200.00
217,DPE,2008-01-31,153280.00
218,DPE,2008-02-01,154200.00
219,DPE,2008-02-04,153740.00
220,DPE,2008-02-05,151900.00
221,DPE,2008-02-06,151900.00
222,DPE,2008-02-07,155150.00
223,DPE,2008-02-08,156515.00
224,DPE,2008-02-11,160225.00
225,DPE,2008-02-12,163535.00
226,DPE,2008-02-13,163090.00
227,DPE,2008-02-14,165820.00
228,DPE,2008-02-15,169100.00
229,DPE,2008-02-19,173255.00
230,DPE,2008-02-20,174205.00
231,DPE,2008-02-21,173730.00
232,DPE,2008-02-22,174680.00
233,DPE,2008-02-25,176105.00
234,DPE,2008-02-26,177055.00
235,DPE,2008-02-27,176105.00
236,DPE,2008-02-28,176105.00
237,DPE,2008-02-29,175630.00
238,DPE,2008-03-03,176580.00
239,DPE,2008-03-04,181805.00
240,DPE,2008-03-05,182755.00
241,DPE,2008-03-06,179475.00
242,DPE,2008-03-07,179520.00
243,DPE,2008-03-10,176655.00
244,DPE,2008-03-11,182635.00
245,DPE,2008-03-12,179875.00
246,DPE,2008-03-13,180335.00
247,DPE,2008-03-14,177575.00
248,DPE,2008-03-17,179875.00
249,DPE,2008-03-18,186315.00
250,DPE,2008-03-19,180335.00
251,DPE,2008-03-20,181255.00
252,DPE,2008-03-24,182635.00
253,DPE,2008-03-25,183095.00
254,DPE,2008-03-26,183095.00
255,DPE,2008-03-27,184475.00
256,DPE,2008-03-28,185395.00
257,DPE,2008-03-31,186775.00
258,DPE,2008-04-01,187235.00
259,DPE,2008-04-02,185395.00
260,DPE,2008-04-03,185855.00
261,DPE,2008-04-04,187235.00
262,DPE,2008-04-07,189765.00
263,DPE,2008-04-08,190225.00
264,DPE,2008-04-10,191575.00
265,DPE,2008-04-11,188875.00
266,DPE,2008-04-14,191125.00
267,DPE,2008-04-15,192025.00
268,DPE,2008-04-16,194725.00
269,DPE,2008-04-17,194725.00
270,DPE,2008-04-18,195175.00
271,DPE,2008-04-21,195625.00
272,DPE,2008-04-22,196525.00
273,DPE,2008-04-23,197425.00
274,DPE,2008-04-24,199225.00
275,DPE,2008-04-25,198325.00
276,DPE,2008-04-28,198325.00
277,DPE,2008-04-29,200125.00
278,DPE,2008-04-30,200125.00
279,DPE,2008-05-01,197875.00
280,DPE,2008-05-02,198550.00
281,DPE,2008-05-05,199225.00
282,DPE,2008-05-06,199000.00
283,DPE,2008-05-07,202825.00
284,DPE,2008-05-08,203930.00
285,DPE,2008-05-09,204360.00
286,DPE,2008-05-12,201170.00
287,DPE,2008-05-13,198755.00
288,DPE,2008-05-14,199185.00
