,trade nr.,strategy_code,entry_date,expiration,exit_date,entry_underlying,entry_vix,strikes,iv_legs,entry_price,dte,dit,pnl,max_risk,position_size,percentage,exit,dailypnls
0,1,DPE,2006-11-09 00:00:00,2007-01-20,2006-12-04,761.36,11.04,760/730/690,0.17/0.20/0.22,2.6,47,25,-5135.0,-99935.0,79.0,-5.14%,ew,
1,2,DPE,2006-12-06 00:00:00,2007-02-17,2007-01-05,796.15,11.38,800/770/730,0.17/0.20/0.22,2.25,43,30,18630.0,-99630.0,81.0,18.70%,tp,
2,3,DPE,2007-01-03 00:00:00,2007-03-17,2007-02-08,785.46,12.18,790/760/720,0.17/0.20/0.22,2.1,37,36,410.0,-99630.0,82.0,0.41%,ew,
3,4,DPE,2007-02-09 00:00:00,2007-04-21,2007-03-05,806.6,11.33,810/780/740,0.15/0.17/0.20,2.6,47,24,4740.0,-99935.0,79.0,4.74%,le,
4,5,DPE,2007-03-07 00:00:00,2007-05-19,2007-04-10,777.59,14.9,780/750/710,0.18/0.21/0.24,1.75,39,34,-3780.0,-99120.0,84.0,-3.81%,ue,
5,6,DPE,2007-04-04 00:00:00,2007-06-16,2007-05-22,810.75,13.26,810/780/740,0.17/0.20/0.23,1.85,25,48,-3150.0,-99960.0,84.0,-3.15%,ue,
6,7,DPE,2007-05-10 00:00:00,2007-07-21,2007-06-22,820.43,13.78,820/790/750,0.18/0.21/0.24,1.75,29,43,13650.0,-99120.0,84.0,13.77%,tp,
7,8,DPE,2007-06-06 00:00:00,2007-08-18,2007-07-20,841.93,14.55,840/810/770,0.17/0.20/0.23,1.8,29,44,14700.0,-99540.0,84.0,14.77%,tp,
8,9,DPE,2007-07-16 00:00:00,2007-09-22,2007-07-24,846.96,15.65,850/820/780,0.19/0.21/0.24,1.3,60,8,2640.0,-99880.0,88.0,2.64%,le,
9,10,DPE,2007-08-09 00:00:00,2007-10-20,2007-09-24,786.43,25.69,790/760/720,0.26/0.29/0.33,0.35,26,46,20160.0,-99840.0,96.0,20.19%,tp,
