date,pnl
2012-04-10,-3080.00
2012-04-11,1540.00
2012-04-12,-0.00
2012-04-13,2420.00
2012-04-16,440.00
2012-04-17,660.00
2012-04-18,440.00
2012-04-19,1980.00
2012-04-20,880.00
2012-04-23,1320.00
2012-04-24,1100.00
2012-04-25,1100.00
2012-04-26,440.00
2012-04-27,-1540.00
2012-04-30,1100.00
2012-05-01,1100.00
2012-05-02,220.00
2012-05-03,2200.00
2012-05-04,3080.00
2012-05-07,2420.00
2012-05-08,2200.00
2012-05-09,-3520.00
2012-05-10,1980.00
2012-05-11,-1100.00
2012-05-14,-220.00
2012-05-15,660.00
2012-05-16,-220.00
2012-05-17,-10120.00
2012-05-18,-7920.00
2012-05-21,23980.00
2012-05-22,-7480.00
2012-05-23,13860.00
2012-05-24,-5500.00
2012-05-25,5500.00
2012-05-29,16280.00
2012-05-30,-16280.00
2012-05-31,3740.00
2012-06-01,-47960.00
