,strategy,date,pnl
1,C37_P10,2006-11-14,98540
2,C37_P10,2006-11-15,97810
3,C37_P10,2006-11-16,96715
4,C37_P10,2006-11-17,97445
5,C37_P10,2006-11-20,99270
6,C37_P10,2006-11-21,99634
7,C37_P10,2006-11-22,100365
8,C37_P10,2006-11-24,100000
9,C37_P10,2006-11-27,101825
10,C37_P10,2006-11-28,102190
11,C37_P10,2006-11-29,103285
12,C37_P10,2006-11-30,102920
13,C37_P10,2006-12-01,105475
14,C37_P10,2006-12-04,100730
15,C37_P10,2006-12-05,100365
16,C37_P10,2006-12-06,100730
17,C37_P10,2006-12-07,102555
18,C37_P10,2006-12-08,103650
19,C37_P10,2006-12-11,106205
20,C37_P10,2006-12-12,106490
21,C37_P10,2006-12-13,109202
22,C37_P10,2006-12-14,109702
23,C37_P10,2006-12-15,109702
24,C37_P10,2006-12-18,108057
25,C37_P10,2006-12-19,108057
26,C37_P10,2006-12-20,109702
27,C37_P10,2006-12-21,110407
28,C37_P10,2006-12-22,110407
29,C37_P10,2006-12-26,113227
30,C37_P10,2006-12-27,115577
31,C37_P10,2006-12-28,116517
32,C37_P10,2006-12-29,116752
33,C37_P10,2007-01-03,116752
34,C37_P10,2007-01-04,120277
35,C37_P10,2007-01-09,120877
36,C37_P10,2007-01-10,121477
37,C37_P10,2007-01-11,121177
38,C37_P10,2007-01-12,119977
39,C37_P10,2007-01-16,122977
40,C37_P10,2007-01-17,123277
41,C37_P10,2007-01-18,127777
42,C37_P10,2007-01-19,128377
43,C37_P10,2007-01-22,132577
44,C37_P10,2007-02-13,130727
45,C37_P10,2007-02-14,131467
46,C37_P10,2007-02-15,131467
47,C37_P10,2007-02-16,133317
48,C37_P10,2007-02-20,130727
49,C37_P10,2007-02-21,132947
50,C37_P10,2007-02-22,132947
51,C37_P10,2007-02-23,132577
52,C37_P10,2007-02-26,134057
53,C37_P10,2007-02-27,133317
54,C37_P10,2007-02-28,135907
55,C37_P10,2007-03-01,137757
56,C37_P10,2007-03-02,129987
57,C37_P10,2007-03-13,128217
58,C37_P10,2007-03-14,129397
59,C37_P10,2007-03-15,130872
60,C37_P10,2007-03-16,129397
61,C37_P10,2007-03-19,129397
62,C37_P10,2007-03-20,128512
63,C37_P10,2007-03-21,123792
64,C37_P10,2007-03-22,123202
65,C37_P10,2007-03-23,122317
66,C37_P10,2007-03-26,124087
67,C37_P10,2007-03-27,126742
68,C37_P10,2007-03-28,127627
69,C37_P10,2007-03-29,127332
70,C37_P10,2007-03-30,127627
71,C37_P10,2007-04-02,127332
72,C37_P10,2007-04-03,122907
73,C37_P10,2007-04-04,124382
74,C37_P10,2007-04-05,123792
75,C37_P10,2007-04-10,124262
76,C37_P10,2007-04-11,123557
77,C37_P10,2007-04-12,125907
78,C37_P10,2007-04-13,126142
79,C37_P10,2007-04-16,127787
80,C37_P10,2007-04-17,127082
81,C37_P10,2007-04-18,128727
82,C37_P10,2007-04-19,128962
83,C37_P10,2007-04-20,128257
84,C37_P10,2007-04-23,129432
85,C37_P10,2007-04-24,130137
86,C37_P10,2007-04-25,129432
87,C37_P10,2007-04-26,129902
88,C37_P10,2007-04-27,130842
89,C37_P10,2007-04-30,132017
90,C37_P10,2007-05-01,131547
91,C37_P10,2007-05-02,131547
92,C37_P10,2007-05-03,131547
93,C37_P10,2007-05-04,131312
94,C37_P10,2007-05-07,131547
95,C37_P10,2007-05-08,132487
96,C37_P10,2007-05-09,131782
97,C37_P10,2007-05-10,132957
98,C37_P10,2007-05-11,134485
99,C37_P10,2007-05-15,136345
100,C37_P10,2007-05-16,136964
101,C37_P10,2007-05-17,137895
102,C37_P10,2007-05-18,137895
103,C37_P10,2007-05-21,134795
104,C37_P10,2007-05-22,132315
105,C37_P10,2007-05-23,133555
106,C37_P10,2007-05-24,143165
107,C37_P10,2007-05-25,140375
108,C37_P10,2007-05-29,136965
109,C37_P10,2007-05-30,133555
110,C37_P10,2007-06-12,129475
111,C37_P10,2007-06-13,133315
112,C37_P10,2007-06-14,134275
113,C37_P10,2007-06-15,134755
114,C37_P10,2007-06-18,135474
115,C37_P10,2007-06-19,135955
116,C37_P10,2007-06-20,134034
117,C37_P10,2007-06-21,133795
118,C37_P10,2007-06-22,131875
119,C37_P10,2007-06-25,132354
120,C37_P10,2007-06-26,132355
121,C37_P10,2007-06-27,135234
122,C37_P10,2007-06-28,137874
123,C37_P10,2007-06-29,135954
124,C37_P10,2007-07-02,137394
125,C37_P10,2007-07-03,139314
126,C37_P10,2007-07-05,139555
127,C37_P10,2007-07-06,140515
128,C37_P10,2007-07-09,140995
129,C37_P10,2007-07-10,140755
130,C37_P10,2007-07-11,141475
131,C37_P10,2007-07-12,140994
132,C37_P10,2007-07-13,142195
133,C37_P10,2007-07-16,144355
134,C37_P10,2007-07-17,143725
135,C37_P10,2007-07-18,144144
136,C37_P10,2007-07-19,144355
137,C37_P10,2007-07-20,143304
138,C37_P10,2007-07-23,144774
139,C37_P10,2007-07-24,139944
140,C37_P10,2007-08-14,139744
141,C37_P10,2007-08-15,139144
142,C37_P10,2007-08-16,140344
143,C37_P10,2007-08-17,138344
144,C37_P10,2007-08-20,140144
145,C37_P10,2007-08-21,141544
146,C37_P10,2007-08-22,141144
147,C37_P10,2007-08-23,144344
148,C37_P10,2007-08-24,142744
149,C37_P10,2007-08-27,144744
150,C37_P10,2007-08-28,145544
151,C37_P10,2007-08-29,144544
152,C37_P10,2007-08-30,144744
153,C37_P10,2007-08-31,143144
154,C37_P10,2007-09-04,142744
155,C37_P10,2007-09-05,141944
156,C37_P10,2007-09-06,142544
157,C37_P10,2007-09-07,144144
158,C37_P10,2007-09-10,147144
159,C37_P10,2007-09-11,150205
160,C37_P10,2007-09-12,151265
161,C37_P10,2007-09-13,152595
162,C37_P10,2007-09-14,151800
163,C37_P10,2007-09-17,155775
164,C37_P10,2007-09-18,149150
165,C37_P10,2007-09-19,143585
166,C37_P10,2007-10-16,143425
167,C37_P10,2007-10-17,143425
168,C37_P10,2007-10-18,144705
169,C37_P10,2007-10-19,137985
170,C37_P10,2007-10-22,141025
171,C37_P10,2007-10-23,144385
172,C37_P10,2007-10-24,143585
173,C37_P10,2007-10-25,143105
174,C37_P10,2007-10-26,145505
175,C37_P10,2007-10-29,146145
176,C37_P10,2007-10-30,144705
177,C37_P10,2007-10-31,147425
178,C37_P10,2007-11-01,140065
179,C37_P10,2007-11-13,139465
180,C37_P10,2007-11-14,137865
181,C37_P10,2007-11-15,138065
182,C37_P10,2007-11-16,140065
183,C37_P10,2007-11-19,141665
184,C37_P10,2007-11-20,142465
185,C37_P10,2007-11-21,141465
186,C37_P10,2007-11-23,142865
187,C37_P10,2007-11-26,140865
188,C37_P10,2007-11-27,144265
189,C37_P10,2007-11-28,148065
190,C37_P10,2007-11-29,148665
191,C37_P10,2007-11-30,149865
192,C37_P10,2007-12-11,149865
193,C37_P10,2007-12-12,149865
194,C37_P10,2007-12-13,148745
195,C37_P10,2007-12-14,149865
196,C37_P10,2007-12-17,148465
197,C37_P10,2008-01-15,150145
198,C37_P10,2008-01-16,152385
199,C37_P10,2008-01-17,152385
200,C37_P10,2008-01-18,156025
201,C37_P10,2008-02-12,156025
202,C37_P10,2008-02-13,156220
203,C37_P10,2008-02-14,159145
204,C37_P10,2008-02-15,160315
205,C37_P10,2008-02-19,161290
206,C37_P10,2008-02-20,162070
207,C37_P10,2008-02-21,163630
208,C37_P10,2008-02-22,164995
209,C37_P10,2008-02-25,166165
210,C37_P10,2008-03-11,162525
211,C37_P10,2008-03-12,160565
212,C37_P10,2008-03-13,158045
213,C37_P10,2008-03-14,161405
214,C37_P10,2008-03-17,162245
215,C37_P10,2008-03-18,158045
216,C37_P10,2008-03-19,160845
217,C37_P10,2008-03-20,158325
218,C37_P10,2008-03-24,154405
219,C37_P10,2008-04-15,152465
220,C37_P10,2008-04-16,137430
221,C37_P10,2008-04-17,140340
222,C37_P10,2008-04-18,132095
223,C37_P10,2008-05-13,132095
224,C37_P10,2008-05-14,132410
225,C37_P10,2008-05-15,130520
226,C37_P10,2008-05-16,130835
227,C37_P10,2008-05-19,132410
228,C37_P10,2008-05-20,134615
229,C37_P10,2008-05-21,134615
230,C37_P10,2008-05-22,136505
231,C37_P10,2008-05-23,137764
232,C37_P10,2008-05-27,137765
233,C37_P10,2008-05-28,138395
234,C37_P10,2008-05-29,135560
235,C37_P10,2008-05-30,135875
236,C37_P10,2008-06-02,140285
237,C37_P10,2008-06-03,140285
238,C37_P10,2008-06-04,138080
239,C37_P10,2008-06-05,130204
240,C37_P10,2008-06-10,131824
241,C37_P10,2008-06-11,135604
242,C37_P10,2008-06-12,136684
243,C37_P10,2008-06-13,137764
244,C37_P10,2008-06-16,135874
245,C37_P10,2008-06-17,138844
246,C37_P10,2008-06-18,139385
247,C37_P10,2008-06-19,139654
248,C37_P10,2008-06-20,141814
249,C37_P10,2008-07-15,143814
250,C37_P10,2008-07-16,132314
251,C37_P10,2008-07-17,125314
252,C37_P10,2008-07-18,123815
253,C37_P10,2008-07-21,121814
254,C37_P10,2008-07-22,110314
255,C37_P10,2008-08-12,107794
256,C37_P10,2008-08-13,107795
257,C37_P10,2008-08-14,108424
258,C37_P10,2008-08-15,108634
259,C37_P10,2008-08-18,107794
260,C37_P10,2008-08-19,106115
261,C37_P10,2008-08-20,108214
262,C37_P10,2008-08-21,109895
263,C37_P10,2008-08-22,111365
264,C37_P10,2008-08-25,106114
265,C37_P10,2008-09-16,104975
266,C37_P10,2008-09-17,104975
267,C37_P10,2008-09-18,100984
268,C37_P10,2008-09-19,91865
269,C37_P10,2008-10-14,91265
270,C37_P10,2008-10-15,84515
271,C37_P10,2008-10-16,88865
272,C37_P10,2008-10-17,91565
273,C37_P10,2008-10-20,98615
274,C37_P10,2008-10-21,98465
275,C37_P10,2008-10-22,84215
276,C37_P10,2008-11-11,85324
277,C37_P10,2008-11-12,85325
278,C37_P10,2008-11-13,86619
279,C37_P10,2008-11-14,85879
280,C37_P10,2008-11-17,84029
281,C37_P10,2008-11-18,78664
282,C37_P10,2008-12-16,77854
283,C37_P10,2008-12-17,78934
284,C37_P10,2008-12-18,83795
285,C37_P10,2008-12-19,87575
286,C37_P10,2008-12-22,94595
287,C37_P10,2009-01-13,93710
288,C37_P10,2009-01-14,96365
289,C37_P10,2009-01-15,96660
290,C37_P10,2009-01-16,97840
291,C37_P10,2009-01-20,96659
292,C37_P10,2009-01-21,101379
293,C37_P10,2009-01-22,101970
294,C37_P10,2009-01-23,105214
295,C37_P10,2009-02-10,114034
296,C37_P10,2009-02-11,116975
297,C37_P10,2009-03-10,105094
298,C37_P10,2009-03-11,103115
299,C37_P10,2009-03-12,87274
300,C37_P10,2009-04-14,82444
301,C37_P10,2009-04-15,84514
302,C37_P10,2009-04-16,89574
303,C37_P10,2009-04-17,93024
304,C37_P10,2009-04-20,87044
305,C37_P10,2009-04-21,90724
306,C37_P10,2009-04-22,91414
307,C37_P10,2009-04-23,90264
308,C37_P10,2009-04-24,93024
309,C37_P10,2009-04-27,92334
310,C37_P10,2009-04-28,93944
311,C37_P10,2009-04-29,97624
312,C37_P10,2009-05-12,99664
313,C37_P10,2009-05-13,95924
314,C37_P10,2009-05-14,97624
315,C37_P10,2009-05-15,97964
316,C37_P10,2009-05-18,104424
317,C37_P10,2009-05-19,105784
318,C37_P10,2009-05-20,105784
319,C37_P10,2009-05-21,105444
320,C37_P10,2009-05-22,106125
321,C37_P10,2009-05-26,109184
322,C37_P10,2009-06-16,109604
323,C37_P10,2009-06-17,109604
324,C37_P10,2009-06-18,111494
325,C37_P10,2009-06-19,113174
326,C37_P10,2009-06-22,110864
327,C37_P10,2009-06-23,111284
328,C37_P10,2009-06-24,113384
329,C37_P10,2009-06-25,118844
330,C37_P10,2009-06-26,121154
331,C37_P10,2009-07-14,121874
332,C37_P10,2009-07-15,123554
333,C37_P10,2009-07-16,124034
334,C37_P10,2009-08-11,124034
335,C37_P10,2009-08-12,123434
336,C37_P10,2009-08-13,123734
337,C37_P10,2009-08-14,125234
338,C37_P10,2009-08-17,121034
339,C37_P10,2009-08-18,125534
340,C37_P10,2009-08-19,127034
341,C37_P10,2009-08-20,128834
342,C37_P10,2009-08-21,126134
343,C37_P10,2009-08-24,127334
344,C37_P10,2009-08-25,127634
345,C37_P10,2009-08-26,127934
346,C37_P10,2009-08-27,129734
347,C37_P10,2009-08-28,131834
348,C37_P10,2009-08-31,134234
349,C37_P10,2009-09-15,134724
350,C37_P10,2009-09-16,136684
351,C37_P10,2009-09-17,136439
352,C37_P10,2009-09-18,135949
353,C37_P10,2009-09-21,136684
354,C37_P10,2009-09-22,138154
