,trade nr.,strategy_code,entry_date,expiration,exit_date,entry_underlying,entry_vix,strikes,iv_legs,entry_price,dte,dit,pnl,max_risk,position_size,percentage,exit
1,1,C37_P10,2006-11-13,2007-01-20,2006-12-04,771.75,,790/760/720,0.14/0.17/0.20,3.25,47,21,-187.5,-99750.0,75,-0.19%,sdc
2,2,C37_P10,2006-12-11,2007-02-17,2006-12-29,792.7,,810/780/740,0.16/0.19/0.22,2.65,50,18,12480.0,-99060.0,78,12.60%,tp
3,3,C37_P10,2007-01-08,2007-03-17,2007-01-22,778.06,,790/760/720,0.17/0.20/0.22,2.35,54,14,10800.0,-99200.0,80,10.89%,tp
4,4,C37_P10,2007-02-12,2007-04-21,2007-02-20,804.95,,820/790/750,0.14/0.16/0.19,3.15,60,8,-2812.5,-99000.0,75,-2.84%,sdc
5,5,C37_P10,2007-03-12,2007-05-19,2007-04-03,787.77,,800/770/730,0.16/0.19/0.22,2.40,46,22,-2400.0,-99600.0,80,-2.41%,sdc
6,6,C37_P10,2007-04-09,2007-06-16,2007-05-09,812.84,,830/800/750,0.15/0.18/0.22,1.30,38,30,5405.0,-98210.0,46,5.50%,sdc
7,7,C37_P10,2007-05-14,2007-07-21,2007-06-01,821.97,,840/810/760,0.16/0.19/0.23,0.80,50,18,4347.5,-97995.0,47,4.44%,sdc
8,8,C37_P10,2007-06-11,2007-08-18,2007-07-13,832.84,,850/820/770,0.16/0.18/0.22,0.80,36,32,5875.0,-97995.0,47,6.00%,sdc
9,9,C37_P10,2007-07-16,2007-09-22,2007-07-24,846.96,,870/830/780,0.17/0.20/0.24,4.70,60,8,5695.0,-98825.0,67,5.76%,sdc
10,10,C37_P10,2007-08-13,2007-10-20,2007-09-18,783.4,,810/770/700,0.24/0.28/0.34,-0.65,32,36,13600.0,-99960.0,34,13.61%,tp
11,11,C37_P10,2007-09-10,2007-11-17,2007-09-19,773.18,,800/750/680,0.28/0.32/0.38,2.90,59,9,3010.0,-98685.0,43,3.05%,sdc
12,12,C37_P10,2007-10-15,2007-12-22,2007-11-02,827.51,,850/810/750,0.20/0.24/0.29,2.40,50,18,-660.0,-98780.0,44,-0.67%,sdc
13,13,C37_P10,2007-11-12,2008-01-19,2007-12-03,770.21,,800/750/680,0.26/0.31/0.37,4.20,47,21,11275.0,-99425.0,41,11.34%,tp
14,14,C37_P10,2007-12-10,2008-02-16,2007-12-17,789.8,,810/770/710,0.24/0.27/0.31,1.65,61,7,-6900.0,-99820.0,46,-6.91%,sdc
15,15,C37_P10,2008-01-14,2008-03-22,2008-01-17,714.05,,740/700/640,0.26/0.29/0.32,1.90,65,3,-4050.0,-98775.0,45,-4.10%,sdc
16,16,C37_P10,2008-02-11,2008-04-19,2008-02-21,698.58,,730/680/620,0.29/0.33/0.37,6.80,58,10,10030.0,-99415.0,59,10.09%,tp
17,17,C37_P10,2008-03-10,2008-05-17,2008-03-24,645.25,,670/630/570,0.31/0.33/0.37,1.70,54,14,2700.0,-97875.0,45,2.76%,sdc
18,18,C37_P10,2008-04-14,2008-06-21,2008-04-18,686.7,,710/670/620,0.26/0.29/0.32,4.40,64,4,-3105.0,-99705.0,69,-3.11%,sdc
19,19,C37_P10,2008-05-12,2008-07-19,2008-06-05,732.18,,750/720/670,0.22/0.24/0.27,-0.00,44,24,7840.0,-98245.0,49,7.98%,sdc
20,20,C37_P10,2008-06-09,2008-08-16,2008-06-26,735.47,,760/720/660,0.24/0.27/0.31,2.70,51,17,4515.0,-97825.0,43,4.62%,sdc
21,21,C37_P10,2008-07-14,2008-09-20,2008-07-22,667.23,,690/650/590,0.28/0.31/0.35,2.20,60,8,2970.0,-97900.0,44,3.03%,sdc
22,22,C37_P10,2008-08-11,2008-10-18,2008-08-27,748.8,,770/730/680,0.23/0.25/0.28,4.70,52,16,11055.0,-98825.0,67,11.19%,tp
23,23,C37_P10,2008-09-15,2008-11-22,2008-09-19,695.27,,720/680/620,0.29/0.32/0.35,1.25,64,4,230.0,-97980.0,46,0.23%,sdc
24,24,C37_P10,2008-10-13,2008-12-20,2008-10-21,557.92,,600/540/460,0.48/0.54/0.62,5.15,60,8,12090.0,-98280.0,39,12.30%,tp
25,25,C37_P10,2008-11-10,2009-01-17,2008-11-18,492.34,,530/480/400,0.52/0.58/0.68,0.85,60,8,-10560.0,-98880.0,32,-10.68%,sdc
26,26,C37_P10,2008-12-15,2009-02-21,2008-12-22,453.66,,500/440/370,0.59/0.65/0.73,8.45,61,7,16200.0,-99900.0,54,16.22%,tp
27,27,C37_P10,2009-01-12,2009-03-21,2009-01-23,468.26,,500/450/390,0.48/0.53/0.60,6.80,57,11,10915.0,-99415.0,59,10.98%,tp
28,28,C37_P10,2009-02-09,2009-04-18,2009-02-11,467.57,,500/450/400,0.42/0.47/0.53,10.15,66,2,12250.0,-99960.0,98,12.25%,tp
29,29,C37_P10,2009-03-09,2009-05-16,2009-03-12,343.6,,370/330/280,0.50/0.54/0.61,5.35,65,3,-5760.0,-98560.0,64,-5.84%,sdc
30,30,C37_P10,2009-04-13,2009-06-20,2009-04-29,469.59,,500/460/400,0.44/0.46/0.50,1.45,52,16,10580.0,-98900.0,46,10.70%,tp
31,31,C37_P10,2009-05-11,2009-07-18,2009-05-26,502.73,,530/490/440,0.38/0.41/0.44,4.70,53,15,11725.0,-98825.0,67,11.86%,tp
32,32,C37_P10,2009-06-15,2009-08-22,2009-06-26,510.49,,540/500/440,0.34/0.37/0.43,3.65,57,11,12180.0,-99540.0,42,12.24%,tp
33,33,C37_P10,2009-07-13,2009-09-19,2009-07-20,491.76,,510/480/430,0.31/0.33/0.38,0.70,61,7,4080.0,-99600.0,48,4.10%,sdc
34,34,C37_P10,2009-08-10,2009-10-17,2009-09-04,571.56,,590/560/510,0.29/0.31/0.34,0.30,43,25,11025.0,-99715.0,49,11.06%,tp
35,35,C37_P10,2009-09-14,2009-11-21,2009-10-01,599.27,,620/580/540,0.27/0.29/0.33,7.75,51,17,14720.0,-99840.0,128,14.74%,tp
36,36,C37_P10,2009-10-12,2009-12-19,2009-10-23,613.65,,640/600/550,0.27/0.29/0.33,6.05,57,11,10850.0,-99820.0,62,10.87%,tp
37,37,C37_P10,2009-11-09,2010-01-16,2009-12-01,590.17,,610/580/530,0.29/0.31/0.35,0.25,46,22,10535.0,-99470.0,49,10.59%,tp
38,38,C37_P10,2009-12-14,2010-02-20,2009-12-24,608.54,,630/590/550,0.27/0.30/0.33,7.80,58,10,-19050.0,-99695.0,127,-19.11%,sdc
39,39,C37_P10,2010-01-11,2010-03-20,2010-01-22,644.58,,660/630/590,0.24/0.25/0.28,3.20,57,11,750.0,-99375.0,75,0.75%,sdc
40,40,C37_P10,2010-02-08,2010-04-17,2010-02-17,589.39,,610/580/530,0.26/0.28/0.33,1.00,59,9,3760.0,-98935.0,47,3.80%,sdc
41,41,C37_P10,2010-03-15,2010-05-22,2010-04-06,674.14,,690/660/620,0.22/0.23/0.26,3.15,46,22,562.5,-99000.0,75,0.57%,sdc
42,42,C37_P10,2010-04-12,2010-06-19,2010-04-22,703.91,,720/690/650,0.20/0.22/0.25,3.25,58,10,-6000.0,-99750.0,75,-6.02%,sdc
43,43,C37_P10,2010-05-10,2010-07-17,2010-05-20,684.36,,710/670/600,0.30/0.33/0.39,0.90,58,10,-9760.0,-99040.0,32,-9.85%,sdc
44,44,C37_P10,2010-06-14,2010-08-21,2010-06-23,652.42,,680/630/570,0.32/0.37/0.42,6.95,59,9,11600.0,-98600.0,58,11.76%,tp
45,45,C37_P10,2010-07-12,2010-09-18,2010-07-26,623.22,,650/610/550,0.30/0.33/0.39,2.70,54,14,430.0,-97825.0,43,0.44%,sdc
46,46,C37_P10,2010-08-09,2010-10-16,2010-08-11,659.78,,680/640/590,0.27/0.31/0.35,4.80,66,2,2010.0,-99495.0,67,2.02%,sdc
47,47,C37_P10,2010-09-13,2010-11-20,2010-10-05,653.06,,680/640/580,0.26/0.29/0.34,3.00,46,22,2795.0,-99115.0,43,2.82%,sdc
48,48,C37_P10,2010-10-11,2010-12-18,2010-11-04,694.22,,720/680/620,0.26/0.29/0.34,2.75,44,24,6665.0,-98040.0,43,6.80%,sdc
49,49,C37_P10,2010-11-15,2011-01-22,2010-12-03,721.93,,745/705/650,0.26/0.28/0.32,3.80,50,18,1855.0,-99905.0,53,1.86%,sdc
50,50,C37_P10,2010-12-13,2011-02-19,2011-01-12,774.0,,795/760/705,0.22/0.24/0.28,1.90,38,30,5962.5,-98775.0,45,6.04%,sdc
51,51,C37_P10,2011-01-10,2011-03-19,2011-01-25,792.71,,820/780/720,0.22/0.25/0.29,3.55,53,15,10500.0,-99120.0,42,10.59%,tp
52,52,C37_P10,2011-02-07,2011-04-16,2011-03-14,807.51,,830/790/730,0.22/0.24/0.28,3.20,33,35,10320.0,-99975.0,43,10.32%,tp
53,53,C37_P10,2011-03-14,2011-05-21,2011-03-30,799.66,,830/780/720,0.26/0.29/0.32,7.15,52,16,-6670.0,-99760.0,58,-6.69%,sdc
54,54,C37_P10,2011-04-11,2011-06-18,2011-04-18,832.87,,860/820/760,0.22/0.25/0.28,2.30,61,7,10340.0,-98340.0,44,10.51%,tp
55,55,C37_P10,2011-05-09,2011-07-16,2011-05-17,841.68,,865/820/770,0.21/0.23/0.26,7.60,60,8,11060.0,-99935.0,79,11.07%,tp
56,56,C37_P10,2011-06-13,2011-08-20,2011-06-28,777.57,,800/760/710,0.23/0.25/0.28,5.15,53,15,-12025.0,-98800.0,65,-12.17%,sdc
57,57,C37_P10,2011-07-11,2011-09-17,2011-07-28,834.26,,860/815/760,0.21/0.24/0.28,6.50,51,17,6300.0,-99300.0,60,6.34%,sdc
58,58,C37_P10,2011-08-15,2011-10-22,2011-08-18,715.18,,745/700/620,0.31/0.36/0.43,-0.80,65,3,-8265.0,-99325.0,29,-8.32%,sdc
59,59,C37_P10,2011-09-12,2011-11-19,2011-09-21,674.63,,720/650/570,0.41/0.47/0.54,11.30,59,9,12880.0,-98210.0,46,13.11%,tp
60,60,C37_P10,2011-10-10,2011-12-17,2011-10-24,677.47,,720/660/580,0.39/0.44/0.50,5.85,54,14,-950.0,-98420.0,38,-0.97%,sdc
61,61,C37_P10,2011-11-14,2012-01-21,2011-11-23,732.53,,770/710/630,0.36/0.41/0.48,5.95,59,9,6650.0,-98800.0,38,6.73%,sdc
62,62,C37_P10,2011-12-12,2012-02-18,2011-12-19,730.76,,770/710/640,0.34/0.38/0.43,9.20,61,7,11220.0,-98175.0,51,11.43%,tp
63,63,C37_P10,2012-01-09,2012-03-17,2012-01-25,753.61,,780/740/670,0.27/0.30/0.35,-0.40,52,16,8745.0,-97845.0,33,8.94%,sdc
64,64,C37_P10,2012-02-13,2012-04-21,2012-03-06,823.82,,850/810/740,0.24/0.26/0.31,0.75,46,22,3840.0,-98560.0,32,3.90%,sdc
65,65,C37_P10,2012-03-12,2012-05-19,2012-04-04,813.61,,840/800/740,0.23/0.25/0.29,2.80,45,23,10535.0,-98255.0,43,10.72%,tp
66,66,C37_P10,2012-04-09,2012-06-16,2012-05-01,805.34,,830/790/730,0.23/0.26/0.29,2.30,46,22,9900.0,-98340.0,44,10.07%,tp
67,67,C37_P10,2012-05-14,2012-07-21,2012-06-01,780.18,,810/760/700,0.25/0.28/0.32,7.65,50,18,10360.0,-99120.0,56,10.45%,sdc
68,68,C37_P10,2012-06-11,2012-08-18,2012-06-29,756.81,,780/740/680,0.27/0.29/0.33,1.75,50,18,7200.0,-98100.0,45,7.34%,sdc
69,69,C37_P10,2012-07-16,2012-09-22,2012-07-26,796.37,,820/780/725,0.22/0.24/0.28,3.65,58,10,11925.0,-99110.0,53,12.03%,tp
70,70,C37_P10,2012-08-13,2012-10-20,2012-09-06,798.6,,820/785/730,0.20/0.22/0.26,2.00,44,24,2925.0,-99225.0,45,2.95%,sdc
71,71,C37_P10,2012-09-10,2012-11-17,2012-09-25,839.24,,860/820/770,0.19/0.21/0.24,5.80,53,15,10395.0,-99855.0,63,10.41%,tp
72,72,C37_P10,2012-10-15,2012-12-22,2012-10-31,826.31,,845/810/765,0.19/0.21/0.23,4.25,52,16,10695.0,-98670.0,69,10.84%,tp
