,strategy,date,pnl
1,37_10_0.1,2006-11-14,97375
2,37_10_0.1,2006-11-15,97000
3,37_10_0.1,2006-11-16,96250
4,37_10_0.1,2006-11-17,97750
5,37_10_0.1,2006-11-20,98875
6,37_10_0.1,2006-11-21,98500
7,37_10_0.1,2006-11-22,97750
8,37_10_0.1,2006-11-24,98125
9,37_10_0.1,2006-11-27,103000
10,37_10_0.1,2006-11-28,103000
11,37_10_0.1,2006-11-29,102625
12,37_10_0.1,2006-11-30,101500
13,37_10_0.1,2006-12-01,104125
14,37_10_0.1,2006-12-04,99437
15,37_10_0.1,2006-12-12,98967
16,37_10_0.1,2006-12-13,99437
17,37_10_0.1,2006-12-14,101552
18,37_10_0.1,2006-12-15,101787
19,37_10_0.1,2006-12-18,101317
20,37_10_0.1,2006-12-19,101317
21,37_10_0.1,2006-12-20,102492
22,37_10_0.1,2006-12-21,103197
23,37_10_0.1,2006-12-22,103197
24,37_10_0.1,2006-12-26,104842
25,37_10_0.1,2006-12-27,106017
26,37_10_0.1,2006-12-28,106722
27,37_10_0.1,2006-12-29,108132
28,37_10_0.1,2007-01-03,108837
29,37_10_0.1,2007-01-04,110012
30,37_10_0.1,2007-01-09,110692
31,37_10_0.1,2007-01-10,111372
32,37_10_0.1,2007-01-11,102532
33,37_10_0.1,2007-01-12,99812
34,37_10_0.1,2007-01-16,105932
35,37_10_0.1,2007-01-17,108652
36,37_10_0.1,2007-01-18,122932
37,37_10_0.1,2007-02-13,121412
38,37_10_0.1,2007-02-14,121032
39,37_10_0.1,2007-02-15,120272
40,37_10_0.1,2007-02-16,120272
41,37_10_0.1,2007-02-20,119702
42,37_10_0.1,2007-02-21,120842
43,37_10_0.1,2007-03-13,139882
44,37_10_0.1,2007-04-10,138732
45,37_10_0.1,2007-04-11,139192
46,37_10_0.1,2007-04-12,141492
47,37_10_0.1,2007-04-13,140342
48,37_10_0.1,2007-04-16,141492
49,37_10_0.1,2007-04-17,141262
50,37_10_0.1,2007-04-18,142642
51,37_10_0.1,2007-04-19,142872
52,37_10_0.1,2007-04-20,142412
53,37_10_0.1,2007-04-23,143102
54,37_10_0.1,2007-04-24,143332
55,37_10_0.1,2007-04-25,143102
