date,pnl
2020-05-11,3450.00
2020-05-12,3220.00
2020-05-13,-2070.00
2020-05-14,690.00
2020-05-15,2415.00
2020-05-18,-4255.00
2020-05-19,690.00
2020-05-20,-460.00
2020-05-21,230.00
2020-05-22,1265.00
2020-05-26,-3335.00
2020-05-27,-5635.00
2020-05-28,2990.00
2020-05-29,2530.00
2020-06-01,-2760.00
2020-06-02,230.00
2020-06-03,-3105.00
2020-06-04,2415.00
2020-06-05,-6210.00
2020-06-08,-2760.00
2020-06-09,2875.00
2020-06-10,4600.00
2020-06-11,2990.00
2020-06-12,575.00
2020-06-15,2645.00
2020-06-16,-7015.00
2020-06-17,3220.00
2020-06-18,-115.00
2020-06-19,2990.00
2020-06-22,805.00
2020-06-23,-2415.00
2020-06-24,6785.00
2020-06-25,2990.00
