,strategy,date,pnl
1,C100_P10,2006-11-14,97750.00
2,C100_P10,2006-11-15,97375.00
3,C100_P10,2006-11-16,96625.00
4,C100_P10,2006-11-17,98125.00
5,C100_P10,2006-11-20,99250.00
6,C100_P10,2006-11-21,98875.00
7,C100_P10,2006-11-22,98125.00
8,C100_P10,2006-11-24,98500.00
9,C100_P10,2006-11-27,103375.00
10,C100_P10,2006-11-28,103375.00
11,C100_P10,2006-11-29,103000.00
12,C100_P10,2006-11-30,101875.00
13,C100_P10,2006-12-01,104500.00
14,C100_P10,2006-12-04,99812.50
15,C100_P10,2006-12-05,98875.00
16,C100_P10,2006-12-06,100000.00
17,C100_P10,2006-12-07,101500.00
18,C100_P10,2006-12-08,101312.50
19,C100_P10,2006-12-11,102437.50
20,C100_P10,2006-12-12,106952.50
21,C100_P10,2006-12-13,107890.00
22,C100_P10,2006-12-14,105340.00
23,C100_P10,2006-12-15,109697.50
24,C100_P10,2006-12-18,123835.00
25,C100_P10,2006-12-19,123445.00
26,C100_P10,2006-12-20,124615.00
27,C100_P10,2006-12-21,126175.00
28,C100_P10,2006-12-22,126175.00
29,C100_P10,2006-12-26,126955.00
30,C100_P10,2006-12-27,125785.00
31,C100_P10,2006-12-28,126955.00
32,C100_P10,2006-12-29,130855.00
33,C100_P10,2007-01-09,131255.00
34,C100_P10,2007-01-10,132055.00
35,C100_P10,2007-01-11,131655.00
36,C100_P10,2007-01-12,132855.00
37,C100_P10,2007-01-16,134055.00
38,C100_P10,2007-01-17,134855.00
39,C100_P10,2007-01-18,137655.00
40,C100_P10,2007-01-19,136855.00
41,C100_P10,2007-01-22,141655.00
42,C100_P10,2007-02-13,140530.00
43,C100_P10,2007-02-14,140155.00
44,C100_P10,2007-02-15,139405.00
45,C100_P10,2007-02-16,139405.00
46,C100_P10,2007-02-20,138842.50
47,C100_P10,2007-02-21,139967.50
48,C100_P10,2007-02-22,139780.00
49,C100_P10,2007-02-23,139217.50
50,C100_P10,2007-02-26,141842.50
51,C100_P10,2007-02-27,144655.00
52,C100_P10,2007-02-28,146155.00
53,C100_P10,2007-03-01,147280.00
54,C100_P10,2007-03-02,143155.00
55,C100_P10,2007-03-05,139405.00
56,C100_P10,2007-03-06,150655.00
57,C100_P10,2007-03-07,150655.00
58,C100_P10,2007-03-08,152905.00
59,C100_P10,2007-03-13,155305.00
60,C100_P10,2007-03-14,150905.00
61,C100_P10,2007-03-15,153305.00
62,C100_P10,2007-03-16,152105.00
63,C100_P10,2007-03-19,152505.00
64,C100_P10,2007-03-20,152105.00
65,C100_P10,2007-03-21,150505.00
66,C100_P10,2007-03-22,150105.00
67,C100_P10,2007-03-23,149705.00
68,C100_P10,2007-03-26,151305.00
69,C100_P10,2007-03-27,152505.00
70,C100_P10,2007-03-28,152105.00
71,C100_P10,2007-03-29,151305.00
72,C100_P10,2007-03-30,152505.00
73,C100_P10,2007-04-02,151705.00
74,C100_P10,2007-04-03,150505.00
75,C100_P10,2007-04-04,151305.00
76,C100_P10,2007-04-05,150905.00
77,C100_P10,2007-04-09,151305.00
78,C100_P10,2007-04-10,149785.00
79,C100_P10,2007-04-11,153645.00
80,C100_P10,2007-04-12,152545.00
81,C100_P10,2007-04-13,150395.00
82,C100_P10,2007-04-16,145745.00
83,C100_P10,2007-04-17,147715.00
84,C100_P10,2007-04-18,149895.00
85,C100_P10,2007-04-19,155125.00
86,C100_P10,2007-04-20,147865.00
87,C100_P10,2007-04-23,150155.00
88,C100_P10,2007-04-24,150785.00
89,C100_P10,2007-04-25,146755.00
90,C100_P10,2007-04-26,146900.00
91,C100_P10,2007-04-27,150335.00
92,C100_P10,2007-04-30,161545.00
93,C100_P10,2007-05-01,161485.00
94,C100_P10,2007-05-02,149735.00
95,C100_P10,2007-05-03,147765.00
96,C100_P10,2007-05-04,145935.00
97,C100_P10,2007-05-07,144735.00
98,C100_P10,2007-05-08,145310.00
99,C100_P10,2007-05-09,145310.00
100,C100_P10,2007-05-10,147265.00
101,C100_P10,2007-05-11,147495.00
102,C100_P10,2007-05-14,148760.00
103,C100_P10,2007-05-15,151410.00
104,C100_P10,2007-05-16,152115.00
105,C100_P10,2007-05-17,151645.00
106,C100_P10,2007-05-18,153995.00
107,C100_P10,2007-05-21,154935.00
108,C100_P10,2007-05-22,155170.00
109,C100_P10,2007-05-23,155640.00
110,C100_P10,2007-05-24,156110.00
111,C100_P10,2007-05-25,156815.00
112,C100_P10,2007-05-29,156815.00
113,C100_P10,2007-05-30,156815.00
114,C100_P10,2007-05-31,155640.00
115,C100_P10,2007-06-01,155522.50
116,C100_P10,2007-06-04,155170.00
117,C100_P10,2007-06-05,157520.00
118,C100_P10,2007-06-06,157520.00
119,C100_P10,2007-06-07,157285.00
120,C100_P10,2007-06-08,159635.00
121,C100_P10,2007-06-11,161045.00
122,C100_P10,2007-06-12,157755.00
123,C100_P10,2007-06-13,160575.00
124,C100_P10,2007-06-14,161045.00
125,C100_P10,2007-06-15,161515.00
126,C100_P10,2007-06-18,161985.00
127,C100_P10,2007-06-19,162925.00
128,C100_P10,2007-06-20,161985.00
129,C100_P10,2007-06-21,161045.00
130,C100_P10,2007-06-22,159635.00
131,C100_P10,2007-06-25,160105.00
132,C100_P10,2007-06-26,160340.00
133,C100_P10,2007-06-27,163630.00
134,C100_P10,2007-06-28,164570.00
135,C100_P10,2007-06-29,162690.00
136,C100_P10,2007-07-02,163865.00
137,C100_P10,2007-07-03,165275.00
138,C100_P10,2007-07-05,165510.00
139,C100_P10,2007-07-06,166215.00
140,C100_P10,2007-07-09,166920.00
141,C100_P10,2007-07-10,166685.00
142,C100_P10,2007-07-11,167390.00
143,C100_P10,2007-07-12,166685.00
144,C100_P10,2007-07-13,166920.00
145,C100_P10,2007-07-16,169035.00
146,C100_P10,2007-07-17,167677.50
147,C100_P10,2007-07-18,171315.00
148,C100_P10,2007-07-19,168282.50
149,C100_P10,2007-07-20,174100.00
150,C100_P10,2007-07-23,176110.00
151,C100_P10,2007-07-24,177785.00
152,C100_P10,2007-07-25,180130.00
153,C100_P10,2007-07-26,172090.00
154,C100_P10,2007-07-27,173095.00
155,C100_P10,2007-07-30,180465.00
156,C100_P10,2007-07-31,174100.00
157,C100_P10,2007-08-01,171085.00
158,C100_P10,2007-08-14,168705.00
159,C100_P10,2007-08-15,166325.00
160,C100_P10,2007-08-16,168705.00
161,C100_P10,2007-08-17,170745.00
162,C100_P10,2007-08-20,172275.00
163,C100_P10,2007-08-21,173465.00
164,C100_P10,2007-08-22,174995.00
165,C100_P10,2007-08-23,175675.00
166,C100_P10,2007-08-24,176015.00
167,C100_P10,2007-08-27,176865.00
168,C100_P10,2007-08-28,173125.00
169,C100_P10,2007-08-29,175335.00
170,C100_P10,2007-08-30,174485.00
171,C100_P10,2007-08-31,175845.00
172,C100_P10,2007-09-04,176695.00
173,C100_P10,2007-09-05,174145.00
174,C100_P10,2007-09-06,174825.00
175,C100_P10,2007-09-07,172615.00
176,C100_P10,2007-09-10,174655.00
177,C100_P10,2007-09-11,178110.00
178,C100_P10,2007-09-12,179445.00
179,C100_P10,2007-09-13,180420.00
180,C100_P10,2007-09-14,181870.00
181,C100_P10,2007-09-17,183965.00
182,C100_P10,2007-09-18,188985.00
183,C100_P10,2007-09-19,187695.00
184,C100_P10,2007-09-20,189630.00
185,C100_P10,2007-09-21,189630.00
186,C100_P10,2007-09-24,192210.00
187,C100_P10,2007-09-25,195005.00
188,C100_P10,2007-10-16,194565.00
189,C100_P10,2007-10-17,195885.00
190,C100_P10,2007-10-18,195665.00
191,C100_P10,2007-10-19,191705.00
192,C100_P10,2007-10-22,193905.00
193,C100_P10,2007-10-23,195885.00
194,C100_P10,2007-10-24,196545.00
195,C100_P10,2007-10-25,196105.00
196,C100_P10,2007-10-26,197425.00
197,C100_P10,2007-10-29,197865.00
198,C100_P10,2007-10-30,196765.00
199,C100_P10,2007-10-31,198745.00
200,C100_P10,2007-11-01,194345.00
201,C100_P10,2007-11-02,194345.00
202,C100_P10,2007-11-05,195665.00
203,C100_P10,2007-11-06,200065.00
204,C100_P10,2007-11-07,194125.00
205,C100_P10,2007-11-08,195445.00
206,C100_P10,2007-11-09,192805.00
207,C100_P10,2007-11-12,193025.00
208,C100_P10,2007-11-13,204275.00
209,C100_P10,2007-11-14,198160.00
210,C100_P10,2007-11-15,191825.00
211,C100_P10,2007-11-16,191485.00
