date,pnl
2013-10-15,-4375.00
2013-10-16,4200.00
2013-10-17,1925.00
2013-10-18,700.00
2013-10-21,525.00
2013-10-22,-700.00
2013-10-23,175.00
2013-10-24,875.00
2013-10-25,175.00
2013-10-28,700.00
2013-10-29,-875.00
2013-10-30,2275.00
2013-10-31,-175.00
2013-11-01,1400.00
2013-11-04,-525.00
2013-11-05,1225.00
2013-11-06,875.00
2013-11-07,0.00
2013-11-08,1050.00
2013-11-11,350.00
2013-11-12,-175.00
2013-11-13,-1312.50
2013-11-14,350.00
2013-11-15,-875.00
2013-11-18,2625.00
2013-11-19,1925.00
2013-11-20,2625.00
2013-11-21,-7000.00
2013-11-22,-1837.50
2013-11-25,875.00
2013-11-26,-4900.00
2013-11-27,-1662.50
2013-11-29,-525.00
2013-12-02,4550.00
2013-12-03,3675.00
2013-12-04,-1750.00
2013-12-05,1662.50
2013-12-06,-5950.00
2013-12-09,1662.50
