date,pnl
2018-01-02,0.00
2018-01-03,404.01
2018-01-04,253.72
2018-01-05,-11.31
2018-01-08,371.69
2018-01-09,-42.02
2018-01-10,-265.03
2018-01-11,1821.27
2018-01-12,307.05
2018-01-16,-851.65
2018-01-17,656.11
2018-01-18,-599.55
2018-01-19,1191.01
2018-01-22,352.29
2018-01-23,552.68
2018-01-24,-707.82
2018-01-25,-206.85
2018-01-26,702.97
2018-01-29,-502.59
2018-01-30,-946.99
2018-01-31,-512.28
2018-02-01,-247.25
2018-02-02,-1562.70
2018-02-05,-2784.42
2018-02-06,281.19
2018-02-07,235.94
2018-02-08,-2314.16
2018-02-09,6.46
2018-02-12,1014.87
2018-02-13,-71.11
2018-02-14,1680.67
2018-02-15,995.48
2018-02-16,614.09
2018-02-20,-1024.56
2018-02-21,575.31
2018-02-22,-358.76
2018-02-23,883.97
2018-02-26,932.45
2018-02-27,-1341.31
2018-02-28,-1132.84
2018-03-01,-993.86
2018-03-02,1835.81
2018-03-05,1040.72
2018-03-06,691.66
2018-03-07,1008.40
2018-03-08,-446.02
2018-03-09,1772.79
2018-03-12,324.82
2018-03-13,-704.59
2018-03-14,-491.27
2018-03-15,-565.61
2018-03-16,856.50
2018-03-19,-1279.90
2018-03-20,181.00
2018-03-21,723.98
2018-03-22,-2201.03
2018-03-23,-1827.73
2018-03-26,1426.96
2018-03-27,-2029.73
2018-03-28,61.41
2018-03-29,1220.10
2018-04-02,-2739.17
2018-04-03,1590.17
2018-04-04,1163.54
2018-04-05,749.84
2018-04-06,-1837.43
2018-04-09,392.70
2018-04-10,1674.21
2018-04-11,87.27
2018-04-12,820.94
2018-04-13,-787.01
2018-04-16,1165.16
2018-04-17,1134.45
2018-04-18,261.80
2018-04-19,-748.22
2018-04-20,-748.22
2018-04-23,-135.75
2018-04-24,-879.12
2018-04-25,77.57
2018-04-26,581.77
2018-04-27,-140.59
2018-04-30,-646.41
2018-05-01,253.72
2018-05-02,404.01
2018-05-03,-704.59
2018-05-04,1281.51
2018-05-07,938.91
2018-05-08,358.76
2018-05-09,675.50
2018-05-10,436.33
2018-05-11,308.66
2018-05-14,-366.84
2018-05-15,-148.67
2018-05-16,1031.03
2018-05-17,646.41
2018-05-18,242.40
2018-05-21,381.38
2018-05-22,-500.97
2018-05-23,-84.03
2018-05-24,105.04
2018-05-25,-126.05
2018-05-29,-92.11
2018-05-30,1496.44
2018-05-31,-829.02
2018-06-01,848.42
2018-06-04,248.87
2018-06-05,694.89
