,strategy,date,pnl
1,C37_P10,2018-01-08,101200.00
2,C37_P10,2018-01-09,100150.00
3,C37_P10,2018-01-10,101200.00
4,C37_P10,2018-01-11,99550.00
5,C37_P10,2018-01-12,100300.00
6,C37_P10,2018-01-16,100750.00
7,C37_P10,2018-01-17,100150.00
8,C37_P10,2018-01-18,99850.00
9,C37_P10,2018-01-19,98500.00
10,C37_P10,2018-01-22,98800.00
11,C37_P10,2018-02-12,106060.00
12,C37_P10,2018-02-13,106940.00
13,C37_P10,2018-02-14,105840.00
14,C37_P10,2018-02-15,101880.00
15,C37_P10,2018-03-12,106080.00
16,C37_P10,2018-03-13,105780.00
17,C37_P10,2018-03-14,104580.00
18,C37_P10,2018-03-15,106530.00
19,C37_P10,2018-03-16,107430.00
20,C37_P10,2018-03-19,106380.00
21,C37_P10,2018-03-20,107730.00
22,C37_P10,2018-03-21,108930.00
23,C37_P10,2018-03-22,103980.00
24,C37_P10,2018-04-09,105475.00
25,C37_P10,2018-04-10,105130.00
26,C37_P10,2018-04-11,105245.00
27,C37_P10,2018-04-12,106395.00
28,C37_P10,2018-04-13,107430.00
29,C37_P10,2018-04-16,107775.00
30,C37_P10,2018-05-14,107155.00
31,C37_P10,2018-05-15,108240.00
32,C37_P10,2018-05-16,108860.00
33,C37_P10,2018-05-17,108860.00
34,C37_P10,2018-05-18,107930.00
35,C37_P10,2018-05-21,109480.00
36,C37_P10,2018-05-22,109945.00
37,C37_P10,2018-05-23,109790.00
38,C37_P10,2018-05-24,109945.00
39,C37_P10,2018-05-25,109945.00
40,C37_P10,2018-05-29,107930.00
41,C37_P10,2018-05-30,107775.00
42,C37_P10,2018-05-31,108395.00
43,C37_P10,2018-06-01,108550.00
44,C37_P10,2018-06-11,111030.00
45,C37_P10,2018-06-12,110255.00
46,C37_P10,2018-06-13,110410.00
47,C37_P10,2018-06-14,110875.00
48,C37_P10,2018-06-15,110410.00
49,C37_P10,2018-06-18,109635.00
50,C37_P10,2018-06-19,108395.00
51,C37_P10,2018-06-20,107620.00
52,C37_P10,2018-06-21,105140.00
53,C37_P10,2018-06-22,105605.00
54,C37_P10,2018-06-25,102815.00
55,C37_P10,2018-06-26,105450.00
56,C37_P10,2018-06-27,102195.00
57,C37_P10,2018-06-28,101420.00
58,C37_P10,2018-06-29,103435.00
59,C37_P10,2018-07-02,105140.00
60,C37_P10,2018-07-03,106070.00
61,C37_P10,2018-07-05,107930.00
62,C37_P10,2018-07-06,109790.00
63,C37_P10,2018-07-09,109945.00
64,C37_P10,2018-07-16,110565.00
65,C37_P10,2018-07-17,113045.00
66,C37_P10,2018-07-18,113665.00
67,C37_P10,2018-07-19,112735.00
68,C37_P10,2018-07-20,113045.00
69,C37_P10,2018-07-23,113975.00
70,C37_P10,2018-07-24,114285.00
71,C37_P10,2018-07-25,115370.00
72,C37_P10,2018-07-26,114905.00
73,C37_P10,2018-07-27,115680.00
74,C37_P10,2018-07-30,115680.00
75,C37_P10,2018-07-31,117075.00
76,C37_P10,2018-08-01,117695.00
77,C37_P10,2018-08-02,119400.00
78,C37_P10,2018-08-03,120950.00
79,C37_P10,2018-08-13,122150.00
80,C37_P10,2018-08-14,122150.00
81,C37_P10,2018-08-15,120650.00
82,C37_P10,2018-08-16,121550.00
83,C37_P10,2018-08-17,122600.00
84,C37_P10,2018-08-20,122600.00
85,C37_P10,2018-08-21,121550.00
86,C37_P10,2018-08-22,120800.00
87,C37_P10,2018-08-23,121700.00
88,C37_P10,2018-08-24,120950.00
89,C37_P10,2018-08-27,122000.00
90,C37_P10,2018-08-28,121400.00
91,C37_P10,2018-08-29,120800.00
92,C37_P10,2018-09-10,121120.00
93,C37_P10,2018-09-11,122400.00
94,C37_P10,2018-09-12,122880.00
95,C37_P10,2018-09-13,125280.00
96,C37_P10,2018-09-14,124000.00
97,C37_P10,2018-09-17,127840.00
98,C37_P10,2018-09-18,127520.00
99,C37_P10,2018-09-19,131520.00
100,C37_P10,2018-10-15,134240.00
101,C37_P10,2018-10-16,131360.00
102,C37_P10,2018-10-17,132000.00
103,C37_P10,2018-10-18,134400.00
104,C37_P10,2018-10-19,135200.00
105,C37_P10,2018-10-22,136160.00
106,C37_P10,2018-10-23,136480.00
107,C37_P10,2018-10-24,132480.00
108,C37_P10,2018-11-12,131215.00
109,C37_P10,2018-11-13,129950.00
110,C37_P10,2018-11-14,129030.00
111,C37_P10,2018-12-10,129170.00
112,C37_P10,2018-12-11,131130.00
113,C37_P10,2018-12-12,131970.00
114,C37_P10,2018-12-13,134210.00
115,C37_P10,2018-12-14,132530.00
116,C37_P10,2018-12-17,126930.00
117,C37_P10,2019-01-07,125530.00
118,C37_P10,2019-01-08,124655.00
119,C37_P10,2019-01-09,122905.00
120,C37_P10,2019-03-11,121575.00
121,C37_P10,2019-03-12,121195.00
122,C37_P10,2019-03-13,121575.00
123,C37_P10,2019-03-14,123665.00
124,C37_P10,2019-03-15,122905.00
125,C37_P10,2019-03-18,121195.00
126,C37_P10,2019-04-15,123065.00
127,C37_P10,2019-04-16,124255.00
128,C37_P10,2019-04-17,123575.00
129,C37_P10,2019-04-18,124765.00
130,C37_P10,2019-04-22,125615.00
131,C37_P10,2019-04-23,127145.00
132,C37_P10,2019-04-24,126465.00
133,C37_P10,2019-04-25,127145.00
134,C37_P10,2019-04-26,127655.00
135,C37_P10,2019-04-29,126295.00
136,C37_P10,2019-04-30,126805.00
137,C37_P10,2019-05-01,127655.00
138,C37_P10,2019-05-02,126295.00
139,C37_P10,2019-05-03,124255.00
140,C37_P10,2019-05-06,121875.00
141,C37_P10,2019-05-07,119155.00
142,C37_P10,2019-05-08,120515.00
143,C37_P10,2019-05-09,118645.00
144,C37_P10,2019-05-10,124595.00
145,C37_P10,2019-05-13,116325.00
146,C37_P10,2019-06-10,117685.00
147,C37_P10,2019-06-11,116835.00
148,C37_P10,2019-06-12,116665.00
149,C37_P10,2019-06-13,117175.00
150,C37_P10,2019-06-14,117855.00
151,C37_P10,2019-06-17,118535.00
152,C37_P10,2019-06-18,118025.00
153,C37_P10,2019-06-19,118875.00
154,C37_P10,2019-06-20,118365.00
155,C37_P10,2019-07-15,118210.00
156,C37_P10,2019-07-16,119140.00
157,C37_P10,2019-07-17,117745.00
158,C37_P10,2019-07-18,118055.00
159,C37_P10,2019-07-19,119140.00
160,C37_P10,2019-07-22,117745.00
161,C37_P10,2019-07-23,120070.00
162,C37_P10,2019-07-24,123325.00
163,C37_P10,2019-07-25,122550.00
164,C37_P10,2019-07-26,123325.00
165,C37_P10,2019-07-29,124255.00
166,C37_P10,2019-07-30,121000.00
167,C37_P10,2019-07-31,120380.00
168,C37_P10,2019-08-01,115730.00
169,C37_P10,2019-08-02,113250.00
170,C37_P10,2019-08-12,110940.00
171,C37_P10,2019-08-13,113415.00
172,C37_P10,2019-08-14,110775.00
173,C37_P10,2019-08-15,111600.00
174,C37_P10,2019-09-09,109800.00
175,C37_P10,2019-09-10,109650.00
176,C37_P10,2019-09-11,108450.00
177,C37_P10,2019-10-14,110775.00
178,C37_P10,2019-10-15,112170.00
179,C37_P10,2019-10-16,112325.00
180,C37_P10,2019-10-17,112015.00
181,C37_P10,2019-10-18,112635.00
182,C37_P10,2019-10-21,112790.00
183,C37_P10,2019-10-22,113255.00
184,C37_P10,2019-10-23,113875.00
185,C37_P10,2019-10-24,114495.00
186,C37_P10,2019-10-25,114495.00
187,C37_P10,2019-11-11,115245.00
188,C37_P10,2019-11-12,115395.00
189,C37_P10,2019-11-13,115245.00
190,C37_P10,2019-11-14,115545.00
191,C37_P10,2019-11-15,117045.00
192,C37_P10,2019-11-18,118245.00
193,C37_P10,2019-11-19,118395.00
194,C37_P10,2019-11-20,117945.00
195,C37_P10,2019-11-21,118095.00
196,C37_P10,2019-11-22,119295.00
197,C37_P10,2019-11-25,118245.00
198,C37_P10,2019-11-26,119145.00
199,C37_P10,2019-11-27,117945.00
200,C37_P10,2019-11-29,118695.00
201,C37_P10,2019-12-02,118845.00
202,C37_P10,2019-12-03,116745.00
203,C37_P10,2019-12-04,116895.00
204,C37_P10,2019-12-05,118245.00
205,C37_P10,2019-12-06,117945.00
206,C37_P10,2019-12-16,118455.00
207,C37_P10,2019-12-17,118625.00
208,C37_P10,2019-12-18,117775.00
209,C37_P10,2019-12-19,117435.00
210,C37_P10,2019-12-20,116585.00
211,C37_P10,2019-12-23,116245.00
212,C37_P10,2019-12-24,115225.00
213,C37_P10,2019-12-26,115565.00
214,C37_P10,2019-12-27,116415.00
215,C37_P10,2019-12-30,116755.00
216,C37_P10,2019-12-31,116245.00
217,C37_P10,2020-01-02,120495.00
218,C37_P10,2020-01-03,119135.00
219,C37_P10,2020-01-06,118795.00
220,C37_P10,2020-01-07,121005.00
221,C37_P10,2020-01-08,120665.00
222,C37_P10,2020-01-09,122365.00
223,C37_P10,2020-01-10,124575.00
224,C37_P10,2020-01-13,123725.00
225,C37_P10,2020-01-14,123895.00
226,C37_P10,2020-01-15,123895.00
227,C37_P10,2020-01-16,120835.00
228,C37_P10,2020-02-10,121270.00
229,C37_P10,2020-02-11,121560.00
230,C37_P10,2020-02-12,122140.00
231,C37_P10,2020-02-13,120690.00
232,C37_P10,2020-02-14,122140.00
233,C37_P10,2020-02-18,122430.00
234,C37_P10,2020-02-19,121705.00
235,C37_P10,2020-02-20,120545.00
236,C37_P10,2020-02-21,120400.00
237,C37_P10,2020-02-24,117935.00
238,C37_P10,2020-02-25,107060.00
239,C37_P10,2020-03-09,101060.00
240,C37_P10,2020-04-14,101360.00
241,C37_P10,2020-04-15,101460.00
242,C37_P10,2020-04-16,100260.00
243,C37_P10,2020-04-17,99460.00
244,C37_P10,2020-04-20,98360.00
245,C37_P10,2020-04-21,101260.00
246,C37_P10,2020-04-22,106360.00
247,C37_P10,2020-04-23,104660.00
248,C37_P10,2020-04-24,105960.00
249,C37_P10,2020-04-27,105060.00
250,C37_P10,2020-04-28,105060.00
251,C37_P10,2020-05-11,108510.00
252,C37_P10,2020-05-12,111730.00
253,C37_P10,2020-05-13,109660.00
254,C37_P10,2020-06-15,107340.00
255,C37_P10,2020-06-16,106700.00
256,C37_P10,2020-06-17,109100.00
257,C37_P10,2020-06-18,108540.00
258,C37_P10,2020-06-19,110540.00
259,C37_P10,2020-06-22,112220.00
260,C37_P10,2020-06-23,113660.00
261,C37_P10,2020-06-24,114700.00
262,C37_P10,2020-06-25,116540.00
263,C37_P10,2020-06-26,117020.00
264,C37_P10,2020-06-29,116140.00
265,C37_P10,2020-06-30,117820.00
266,C37_P10,2020-07-01,120780.00
267,C37_P10,2020-07-13,120020.00
268,C37_P10,2020-07-14,120780.00
269,C37_P10,2020-07-15,117075.00
270,C37_P10,2020-07-16,119450.00
271,C37_P10,2020-07-17,120590.00
272,C37_P10,2020-07-20,123725.00
273,C37_P10,2020-07-21,122110.00
274,C37_P10,2020-07-22,123155.00
275,C37_P10,2020-07-23,122395.00
276,C37_P10,2020-07-24,125340.00
277,C37_P10,2020-07-27,125910.00
278,C37_P10,2020-07-28,126955.00
279,C37_P10,2020-07-29,125530.00
280,C37_P10,2020-08-10,124935.00
281,C37_P10,2020-08-11,124170.00
282,C37_P10,2020-08-12,125360.00
283,C37_P10,2020-08-13,126210.00
284,C37_P10,2020-08-14,126890.00
285,C37_P10,2020-08-17,128675.00
286,C37_P10,2020-08-18,129015.00
287,C37_P10,2020-08-19,128930.00
288,C37_P10,2020-08-20,130120.00
289,C37_P10,2020-08-21,131735.00
290,C37_P10,2020-08-24,132755.00
291,C37_P10,2020-08-25,133010.00
292,C37_P10,2020-08-26,133010.00
293,C37_P10,2020-08-27,132500.00
294,C37_P10,2020-08-28,134540.00
295,C37_P10,2020-08-31,133605.00
296,C37_P10,2020-09-01,132840.00
297,C37_P10,2020-09-02,130205.00
298,C37_P10,2020-09-03,127740.00
299,C37_P10,2020-09-04,131480.00
300,C37_P10,2020-09-08,132925.00
301,C37_P10,2020-09-09,140830.00
302,C37_P10,2020-09-14,140630.00
303,C37_P10,2020-09-15,140930.00
304,C37_P10,2020-09-16,140430.00
305,C37_P10,2020-09-17,141130.00
306,C37_P10,2020-09-18,141930.00
307,C37_P10,2020-09-21,141030.00
308,C37_P10,2020-09-22,139832.00
309,C37_P10,2020-09-23,139530.00
310,C37_P10,2020-09-24,137730.00
311,C37_P10,2020-09-25,139330.00
312,C37_P10,2020-09-28,139830.00
313,C37_P10,2020-09-29,139530.00
314,C37_P10,2020-09-30,141130.00
315,C37_P10,2020-10-01,141130.00
316,C37_P10,2020-10-02,140830.00
317,C37_P10,2020-10-05,139830.00
318,C37_P10,2020-10-06,140130.00
319,C37_P10,2020-10-12,142830.00
320,C37_P10,2020-10-13,142830.00
321,C37_P10,2020-10-14,143830.00
322,C37_P10,2020-10-15,142930.00
323,C37_P10,2020-10-16,144230.00
324,C37_P10,2020-10-19,143530.00
325,C37_P10,2020-10-20,143730.00
326,C37_P10,2020-10-21,145429.00
327,C37_P10,2020-10-22,144230.00
328,C37_P10,2020-10-23,145330.00
329,C37_P10,2020-10-26,143230.00
330,C37_P10,2020-10-27,144030.00
331,C37_P10,2020-10-28,136230.00
332,C37_P10,2020-11-09,131670.00
333,C37_P10,2020-11-10,130150.00
334,C37_P10,2020-11-11,130815.00
335,C37_P10,2020-11-12,131765.00
336,C37_P10,2020-11-13,128535.00
337,C37_P10,2020-12-14,128385.00
338,C37_P10,2020-12-15,128385.00
339,C37_P10,2020-12-16,128085.00
340,C37_P10,2020-12-17,128460.00
341,C37_P10,2020-12-18,128310.00
342,C37_P10,2020-12-21,127785.00
343,C37_P10,2020-12-22,127035.00
344,C37_P10,2020-12-23,125985.00
345,C37_P10,2020-12-24,126210.00
346,C37_P10,2020-12-28,128010.00
347,C37_P10,2020-12-29,128685.00
348,C37_P10,2020-12-30,128085.00
349,C37_P10,2020-12-31,128460.00
350,C37_P10,2021-01-04,127935.00
351,C37_P10,2021-01-05,129210.00
352,C37_P10,2021-01-06,127410.00
353,C37_P10,2021-01-11,126360.00
354,C37_P10,2021-01-12,125030.00
355,C37_P10,2021-01-13,127900.00
356,C37_P10,2021-01-14,123840.00
357,C37_P10,2021-01-15,127270.00
358,C37_P10,2021-01-19,125730.00
359,C37_P10,2021-01-20,125800.00
360,C37_P10,2021-01-21,125520.00
361,C37_P10,2021-01-22,125100.00
362,C37_P10,2021-01-25,123140.00
363,C37_P10,2021-01-26,123980.00
364,C37_P10,2021-01-27,120410.00
365,C37_P10,2021-01-28,123840.00
366,C37_P10,2021-01-29,124120.00
367,C37_P10,2021-02-01,126151.40
368,C37_P10,2021-02-02,126780.00
369,C37_P10,2021-02-03,129370.00
370,C37_P10,2021-02-04,127340.00
371,C37_P10,2021-02-08,123350.00
372,C37_P10,2021-02-09,122931.40
373,C37_P10,2021-02-10,122860.00
374,C37_P10,2021-02-11,123770.00
375,C37_P10,2021-02-12,123420.00
376,C37_P10,2021-02-16,123770.00
377,C37_P10,2021-02-17,126150.00
378,C37_P10,2021-02-18,127830.00
379,C37_P10,2021-02-19,125030.00
380,C37_P10,2021-02-22,126428.60
381,C37_P10,2021-02-23,127270.00
382,C37_P10,2021-02-24,125520.00
383,C37_P10,2021-02-25,123490.00
