,strategy,date,pnl
1,C37,2006-11-14,97375
2,C37,2006-11-15,97000
3,C37,2006-11-16,96250
4,C37,2006-11-17,97750
5,C37,2006-11-20,98875
6,C37,2006-11-21,98500
7,C37,2006-11-22,97750
8,C37,2006-11-24,98125
9,C37,2006-11-27,103000
10,C37,2006-11-28,103000
11,C37,2006-11-29,102625
12,C37,2006-11-30,101500
13,C37,2006-12-01,104125
14,C37,2006-12-04,99437
15,C37,2006-12-12,99437
16,C37,2006-12-13,99437
17,C37,2006-12-14,101412
18,C37,2006-12-15,102597
19,C37,2006-12-18,104572
20,C37,2007-01-09,104572
21,C37,2007-01-10,105372
22,C37,2007-01-11,104972
23,C37,2007-01-12,106172
24,C37,2007-01-16,107372
25,C37,2007-01-17,108172
26,C37,2007-01-18,110972
27,C37,2007-02-13,109452
28,C37,2007-02-14,109072
29,C37,2007-02-15,108312
30,C37,2007-02-16,108312
31,C37,2007-02-20,107742
32,C37,2007-03-13,109742
33,C37,2007-03-14,105342
34,C37,2007-03-15,107742
35,C37,2007-03-16,106542
36,C37,2007-03-19,106942
37,C37,2007-03-20,106542
38,C37,2007-03-21,104942
39,C37,2007-03-22,104542
40,C37,2007-03-23,104142
41,C37,2007-03-26,105742
42,C37,2007-03-27,106942
43,C37,2007-03-28,106542
44,C37,2007-03-29,105742
45,C37,2007-03-30,106942
46,C37,2007-04-02,106142
47,C37,2007-04-03,104942
48,C37,2007-04-10,103792
49,C37,2007-04-11,104252
50,C37,2007-04-12,106552
51,C37,2007-04-13,105402
52,C37,2007-04-16,106552
53,C37,2007-04-17,106322
54,C37,2007-04-18,107702
55,C37,2007-04-19,107932
56,C37,2007-04-20,107472
57,C37,2007-04-23,108162
58,C37,2007-04-24,108392
59,C37,2007-04-25,108162
60,C37,2007-04-26,108507
61,C37,2007-04-27,109542
62,C37,2007-04-30,111152
63,C37,2007-05-15,111152
64,C37,2007-05-16,111872
65,C37,2007-05-17,111392
66,C37,2007-05-18,113792
67,C37,2007-05-21,114752
68,C37,2007-05-22,114992
69,C37,2007-05-23,115472
70,C37,2007-05-24,115952
71,C37,2007-05-25,116672
72,C37,2007-06-12,113072
73,C37,2007-06-13,115952
74,C37,2007-06-14,116432
75,C37,2007-06-15,116912
76,C37,2007-06-18,117392
77,C37,2007-06-19,118352
78,C37,2007-06-20,117392
79,C37,2007-06-21,116432
80,C37,2007-06-22,114992
81,C37,2007-06-25,115472
82,C37,2007-06-26,115712
83,C37,2007-06-27,119072
84,C37,2007-06-28,120032
85,C37,2007-06-29,118112
86,C37,2007-07-02,119312
87,C37,2007-07-03,120752
88,C37,2007-07-05,120992
89,C37,2007-07-06,121712
90,C37,2007-07-17,120352
91,C37,2007-07-18,122732
92,C37,2007-07-19,120012
93,C37,2007-07-20,123412
94,C37,2007-07-23,125452
95,C37,2007-07-24,127152
96,C37,2007-08-14,124602
97,C37,2007-08-15,122222
98,C37,2007-08-16,124602
99,C37,2007-08-17,126642
100,C37,2007-08-20,128172
101,C37,2007-08-21,129362
102,C37,2007-08-22,130892
103,C37,2007-08-23,131572
104,C37,2007-08-24,131912
105,C37,2007-08-27,132762
106,C37,2007-09-11,133622
107,C37,2007-09-12,135127
108,C37,2007-09-13,134912
109,C37,2007-09-14,135342
110,C37,2007-09-17,136417
111,C37,2007-09-18,136847
112,C37,2007-09-19,135557
113,C37,2007-10-16,134897
114,C37,2007-10-17,136217
115,C37,2007-10-18,135997
116,C37,2007-10-19,132037
117,C37,2007-10-22,134237
118,C37,2007-10-23,136217
119,C37,2007-10-24,136877
120,C37,2007-10-25,136437
121,C37,2007-10-26,137757
122,C37,2007-10-29,138197
123,C37,2007-10-30,137097
124,C37,2007-10-31,139077
125,C37,2007-11-01,134677
126,C37,2007-11-02,134677
127,C37,2007-11-13,134062
128,C37,2007-11-14,133447
129,C37,2007-11-15,132832
130,C37,2007-11-16,134472
131,C37,2007-11-19,136932
132,C37,2007-11-20,137342
133,C37,2007-11-21,137137
134,C37,2007-11-23,138367
135,C37,2007-11-26,137752
136,C37,2007-11-27,141647
137,C37,2007-12-11,139117
138,C37,2007-12-12,137967
139,C37,2007-12-13,137967
140,C37,2007-12-14,137277
141,C37,2007-12-17,134517
142,C37,2008-01-15,133392
143,C37,2008-01-16,134742
144,C37,2008-01-17,130242
145,C37,2008-02-12,130242
146,C37,2008-02-13,126997
147,C37,2008-02-14,131422
148,C37,2008-02-15,134372
149,C37,2008-02-19,134962
150,C37,2008-02-20,135257
151,C37,2008-03-11,138017
152,C37,2008-03-12,136407
153,C37,2008-03-13,136637
154,C37,2008-03-14,135947
155,C37,2008-03-17,135257
156,C37,2008-03-18,136177
157,C37,2008-03-19,137097
158,C37,2008-03-20,136407
159,C37,2008-03-24,137787
160,C37,2008-04-15,137442
161,C37,2008-04-16,135027
162,C37,2008-04-17,136062
