date,pnl
2006-11-01,0.00
2006-11-02,-174.23
2006-11-03,255.36
2006-11-06,1637.23
2006-11-07,155.61
2006-11-08,333.83
2006-11-09,-946.96
2006-11-10,891.10
2006-11-13,490.77
2006-11-14,1573.39
2006-11-15,1034.74
2006-11-16,-41.23
2006-11-17,-430.92
2006-11-20,272.65
2006-11-21,240.73
2006-11-22,139.65
2006-11-24,-58.52
2006-11-27,-2569.56
2006-11-28,176.89
2006-11-29,1290.10
2006-11-30,606.48
2006-12-01,-1239.56
2006-12-04,2214.45
2006-12-05,168.91
2006-12-06,-133.00
2006-12-07,-396.34
2006-12-08,-11.97
2006-12-11,-50.54
2006-12-12,-586.53
2006-12-13,29.26
2006-12-14,1049.37
2006-12-15,-524.02
2006-12-18,-1470.98
2006-12-19,38.57
2006-12-20,497.42
2006-12-21,-341.81
2006-12-22,-142.31
2006-12-26,859.18
2006-12-27,1073.31
2006-12-28,-11.97
2006-12-29,-900.41
2007-01-03,-532.00
2007-01-04,778.05
2007-01-05,-1967.07
2007-01-08,204.82
2007-01-09,55.86
2007-01-10,121.03
2007-01-11,1250.20
2007-01-12,674.31
2007-01-16,-474.81
2007-01-17,-156.94
2007-01-18,-1287.44
2007-01-19,736.82
2007-01-22,-837.90
2007-01-23,784.70
2007-01-24,1169.07
2007-01-25,-1395.17
2007-01-26,635.74
2007-01-29,565.25
2007-01-30,735.49
2007-01-31,607.81
2007-02-01,748.79
2007-02-02,254.03
2007-02-05,-426.93
2007-02-06,379.05
2007-02-07,772.73
2007-02-08,74.48
2007-02-09,-1190.35
2007-02-12,-219.45
2007-02-13,839.23
2007-02-14,363.09
2007-02-15,340.48
2007-02-16,174.23
2007-02-20,1093.26
2007-02-21,79.80
2007-02-22,134.33
2007-02-23,-54.53
2007-02-26,-573.23
2007-02-27,-3733.31
2007-02-28,31.92
2007-03-01,-444.22
2007-03-02,-1794.17
2007-03-05,-2006.97
2007-03-06,2110.71
2007-03-07,-199.50
2007-03-08,598.50
2007-03-09,179.55
2007-03-12,575.89
2007-03-13,-2314.20
2007-03-14,412.30
2007-03-15,1117.20
2007-03-16,-473.48
2007-03-19,1053.36
2007-03-20,784.70
2007-03-21,1798.16
2007-03-22,200.83
2007-03-23,363.09
2007-03-26,-251.37
2007-03-27,-770.07
2007-03-28,-657.02
2007-03-29,160.93
2007-03-30,-43.89
2007-04-02,573.23
2007-04-03,1276.80
2007-04-04,-174.23
2007-04-05,307.23
2007-04-09,-29.26
2007-04-10,263.34
2007-04-11,-957.60
2007-04-12,863.17
2007-04-13,477.47
2007-04-16,1740.97
2007-04-17,-300.58
2007-04-18,-262.01
2007-04-19,-1038.73
2007-04-20,1228.92
2007-04-23,-35.91
2007-04-24,-311.22
2007-04-25,976.22
2007-04-26,125.02
2007-04-27,-622.44
2007-04-30,-1815.45
2007-05-01,14.63
2007-05-02,1649.20
2007-05-03,119.70
2007-05-04,200.83
2007-05-07,198.17
2007-05-08,-295.26
2007-05-09,723.52
2007-05-10,-1932.49
2007-05-11,1133.16
2007-05-14,-928.34
2007-05-15,-847.21
2007-05-16,368.41
2007-05-17,-259.35
2007-05-18,981.54
2007-05-21,1268.82
2007-05-22,977.55
2007-05-23,-232.75
2007-05-24,-2254.35
2007-05-25,994.84
2007-05-29,941.64
2007-05-30,807.31
2007-05-31,421.61
2007-06-01,904.40
2007-06-04,296.59
2007-06-05,-889.77
2007-06-06,-824.60
2007-06-07,-1865.99
2007-06-08,1071.98
2007-06-11,-414.96
2007-06-12,-1631.91
2007-06-13,1650.53
2007-06-14,597.17
2007-06-15,1336.65
2007-06-18,-11.97
2007-06-19,236.74
2007-06-20,-1572.06
2007-06-21,323.19
2007-06-22,-1048.04
2007-06-25,-732.83
2007-06-26,-69.16
2007-06-27,1545.46
2007-06-28,247.38
2007-06-29,-594.51
2007-07-02,1262.17
2007-07-03,504.07
2007-07-05,70.49
2007-07-06,517.37
2007-07-09,111.72
2007-07-10,-2097.41
2007-07-11,151.62
2007-07-12,2038.89
2007-07-13,308.56
2007-07-16,-1266.16
2007-07-17,534.66
2007-07-18,-1206.31
2007-07-19,1385.86
2007-07-20,-2004.31
2007-07-23,-71.82
2007-07-24,-3575.04
2007-07-25,345.80
2007-07-26,-3029.74
2007-07-27,-779.38
2007-07-30,183.54
2007-07-31,-823.27
2007-08-01,-877.80
2007-08-02,1211.63
2007-08-03,-3089.59
2007-08-06,746.13
2007-08-07,1717.03
2007-08-08,1392.51
2007-08-09,-110.39
2007-08-10,146.30
2007-08-13,-549.29
2007-08-14,-2284.94
2007-08-15,-1441.72
2007-08-16,704.90
2007-08-17,3489.92
2007-08-20,43.89
2007-08-21,216.79
2007-08-22,1356.60
2007-08-23,-1395.17
2007-08-24,1127.84
2007-08-27,-558.60
2007-08-28,-3053.68
2007-08-29,2056.18
2007-08-30,-445.55
2007-08-31,1811.46
2007-09-04,812.63
2007-09-05,-1427.09
2007-09-06,103.74
2007-09-07,-2243.71
2007-09-10,-232.75
2007-09-11,762.09
2007-09-12,-39.90
2007-09-13,368.41
2007-09-14,98.42
2007-09-17,-756.77
2007-09-18,3761.24
2007-09-19,1775.55
2007-09-20,-986.86
2007-09-21,422.94
2007-09-24,-1125.18
2007-09-25,-397.67
2007-09-26,766.08
2007-09-27,650.37
2007-09-28,-1105.23
2007-10-01,2238.39
2007-10-02,1323.35
2007-10-03,-919.03
2007-10-04,545.30
2007-10-05,2058.84
2007-10-08,-590.52
2007-10-09,653.03
2007-10-10,-86.45
2007-10-11,-1195.67
2007-10-12,670.32
2007-10-15,-1665.16
2007-10-16,-352.45
2007-10-17,-461.51
2007-10-18,373.73
2007-10-19,-2959.25
2007-10-22,792.68
2007-10-23,1181.04
2007-10-24,-1008.14
2007-10-25,-239.40
2007-10-26,1693.09
2007-10-29,-58.52
2007-10-30,-566.58
2007-10-31,1278.13
2007-11-01,-3609.62
2007-11-02,-208.81
2007-11-05,-647.71
2007-11-06,921.69
2007-11-07,-2283.61
2007-11-08,-118.37
2007-11-09,-917.70
2007-11-12,-429.59
2007-11-13,2487.10
2007-11-14,-1016.12
2007-11-15,-1711.71
2007-11-16,-337.82
2007-11-19,-2061.50
2007-11-20,-172.90
2007-11-21,-973.56
2007-11-23,1767.57
2007-11-26,-2280.95
2007-11-27,574.56
2007-11-28,3367.56
2007-11-29,-232.75
2007-11-30,367.08
2007-12-03,-643.72
2007-12-04,-1339.31
2007-12-05,1371.23
2007-12-06,2778.37
2007-12-07,-155.61
2007-12-10,817.95
2007-12-11,-2609.46
2007-12-12,-790.02
2007-12-13,486.78
2007-12-14,-1432.41
2007-12-17,-1710.38
2007-12-18,1306.06
2007-12-19,456.19
2007-12-20,635.74
