,strategy_code,trade nr.,expiration,entry_date,entry_underlying,entry_vix,strikes,iv_legs,entry_price,exit_date,DIT,DTE,pnl,max risk,position size,percentage,exit
1,P50_L200,1,2007-01-20,2006-11-16,791.05,10.07,750/720,0.18/0.20,-4.25,2006-12-14,28,37,7030,-97850,38,7.18%,dte
2,P50_L200,2,2007-02-17,2006-12-14,796.4,10.03,750/720,0.20/0.22,-4.10,2007-01-11,28,37,3705,-98420,38,3.76%,dte
3,P50_L200,3,2007-03-17,2007-01-11,788.79,10.68,750/720,0.19/0.21,-4.90,2007-02-01,21,44,11895,-97890,39,12.15%,tp
4,P50_L200,4,2007-04-21,2007-02-15,816.55,10.19,800/770,0.16/0.18,-6.60,2007-03-15,28,37,-26879,-98280,42,-27.35%,dte
5,P50_L200,5,2007-05-19,2007-03-15,781.87,16.31,750/720,0.22/0.24,-5.90,2007-04-03,19,46,13530,-98810,41,13.69%,tp
6,P50_L200,6,2007-06-16,2007-04-12,814.11,12.73,750/720,0.21/0.24,-2.90,2007-05-07,25,40,5760,-97560,36,5.90%,tp
7,P50_L200,7,2007-07-21,2007-05-17,816.42,13.42,750/720,0.23/0.25,-3.40,2007-05-22,5,60,6845,-98420,37,6.95%,tp
8,P50_L200,8,2007-08-18,2007-06-14,837.47,13.65,800/770,0.20/0.22,-5.20,2007-07-13,29,36,10800,-99200,40,10.89%,tp
9,P50_L200,9,2007-09-22,2007-07-19,852.33,15.22,800/770,0.23/0.25,-4.65,2007-08-03,15,50,-46020,-98865,39,-46.55%,sl
10,P50_L200,10,2007-10-20,2007-08-16,760.68,31.33,650/620,0.40/0.43,-3.75,2007-08-22,6,59,7695,-99750,38,7.71%,tp
11,P50_L200,11,2007-11-17,2007-09-13,781.38,24.76,700/670,0.35/0.38,-4.85,2007-09-19,6,59,9945,-98085,39,10.14%,tp
12,P50_L200,12,2007-12-22,2007-10-18,824.2,18.44,750/720,0.28/0.30,-4.00,2007-11-15,28,37,-16340,-98800,38,-16.54%,dte
13,P50_L200,13,2008-01-19,2007-11-15,768.4,28.89,650/620,0.40/0.42,-3.50,2007-12-06,21,44,9249,-98050,37,9.43%,tp
14,P50_L200,14,2008-02-16,2007-12-13,767.9,22.88,700/670,0.32/0.34,-5.55,2007-12-26,13,52,12700,-97800,40,12.99%,tp
15,P50_L200,15,2008-03-22,2008-01-17,682.4,28.24,600/570,0.34/0.35,-4.10,2008-01-31,14,51,7790,-98420,38,7.92%,tp
16,P50_L200,16,2008-04-19,2008-02-14,707.43,25.28,650/620,0.33/0.35,-5.90,2008-03-13,28,37,-3690,-98810,41,-3.73%,dte
17,P50_L200,17,2008-05-17,2008-03-13,679.67,26.76,600/570,0.35/0.37,-4.35,2008-04-01,19,46,9879,-97470,38,10.14%,tp
18,P50_L200,18,2008-06-21,2008-04-17,709.13,20.83,650/620,0.29/0.30,-5.15,2008-05-01,14,51,10300,-99400,40,10.36%,tp
19,P50_L200,19,2008-07-19,2008-05-15,743.25,16.44,700/670,0.24/0.26,-5.55,2008-06-12,28,37,-8000,-97800,40,-8.18%,dte
20,P50_L200,20,2008-08-16,2008-06-12,718.97,23.65,650/620,0.31/0.32,-4.55,2008-07-17,35,30,585,-99255,39,0.59%,dte
21,P50_L200,21,2008-09-20,2008-07-17,693.3,24.75,650/620,0.30/0.32,-6.40,2008-08-05,19,46,13860,-99120,42,13.98%,tp
22,P50_L200,22,2008-10-18,2008-08-14,753.33,20.43,700/670,0.27/0.29,-5.55,2008-09-18,35,30,-13200,-97800,40,-13.50%,dte
23,P50_L200,23,2008-11-22,2008-09-18,719.27,33.75,650/620,0.36/0.38,-5.00,2008-10-03,15,50,-40400,-100000,40,-40.40%,sl
24,P50_L200,24,2008-12-20,2008-10-16,527.47,71.35,400/370,0.73/0.77,-4.55,2008-11-04,19,46,9164,-99255,39,9.23%,tp
25,P50_L200,25,2009-01-17,2008-11-13,477.86,59.61,400/370,0.66/0.70,-6.00,2008-12-18,35,30,11274,-98400,41,11.46%,dte
26,P50_L200,26,2009-02-21,2008-12-18,476.02,48.38,400/370,0.62/0.65,-6.05,2009-01-02,15,50,14555,-98195,41,14.82%,tp
27,P50_L200,27,2009-03-21,2009-01-15,454.94,52.03,350/320,0.65/0.68,-3.80,2009-01-28,13,52,7220,-99560,38,7.25%,tp
28,P50_L200,28,2009-04-18,2009-02-12,449.72,42.63,400/370,0.50/0.54,-6.20,2009-03-03,19,46,-52289,-99960,42,-52.31%,sl
29,P50_L200,29,2009-05-16,2009-03-12,389.37,41.11,350/320,0.49/0.52,-6.65,2009-03-26,14,51,16800,-98070,42,17.13%,tp
30,P50_L200,30,2009-06-20,2009-04-16,473.7,35.55,400/370,0.49/0.52,-4.90,2009-05-04,18,47,10627,-97890,39,10.86%,tp
31,P50_L200,31,2009-07-18,2009-05-14,481.01,31.47,400/370,0.46/0.49,-3.80,2009-05-29,15,50,7314,-99560,38,7.35%,tp
32,P50_L200,32,2009-08-22,2009-06-18,509.57,29.91,450/420,0.40/0.44,-4.60,2009-07-15,27,38,9554,-99060,39,9.64%,tp
33,P50_L200,33,2009-09-19,2009-07-16,522.9,24.93,450/420,0.36/0.39,-3.05,2009-07-24,8,57,5827,-99715,37,5.84%,tp
