,strategy,date,pnl
1,TP_50_SL_200,2006-11-17,99050
2,TP_50_SL_200,2006-11-20,100760
3,TP_50_SL_200,2006-11-21,101900
4,TP_50_SL_200,2006-11-22,101900
5,TP_50_SL_200,2006-11-24,100570
6,TP_50_SL_200,2006-11-27,92210
7,TP_50_SL_200,2006-11-28,93160
8,TP_50_SL_200,2006-11-29,98670
9,TP_50_SL_200,2006-11-30,100570
10,TP_50_SL_200,2006-12-01,96390
11,TP_50_SL_200,2006-12-04,103705
12,TP_50_SL_200,2006-12-05,103990
13,TP_50_SL_200,2006-12-06,103610
14,TP_50_SL_200,2006-12-07,103230
15,TP_50_SL_200,2006-12-08,102945
16,TP_50_SL_200,2006-12-11,103705
17,TP_50_SL_200,2006-12-12,102375
18,TP_50_SL_200,2006-12-13,103800
19,TP_50_SL_200,2006-12-14,107030
20,TP_50_SL_200,2006-12-15,105320
21,TP_50_SL_200,2006-12-18,100760
22,TP_50_SL_200,2006-12-19,101140
23,TP_50_SL_200,2006-12-20,103420
24,TP_50_SL_200,2006-12-21,102280
25,TP_50_SL_200,2006-12-22,102280
26,TP_50_SL_200,2006-12-26,105510
27,TP_50_SL_200,2006-12-27,109500
28,TP_50_SL_200,2006-12-28,109595
29,TP_50_SL_200,2006-12-29,107410
30,TP_50_SL_200,2007-01-03,106270
31,TP_50_SL_200,2007-01-04,109405
32,TP_50_SL_200,2007-01-05,102090
33,TP_50_SL_200,2007-01-08,103800
34,TP_50_SL_200,2007-01-09,104940
35,TP_50_SL_200,2007-01-10,105890
36,TP_50_SL_200,2007-01-11,110735
37,TP_50_SL_200,2007-01-12,113855
38,TP_50_SL_200,2007-01-16,112490
39,TP_50_SL_200,2007-01-17,111710
40,TP_50_SL_200,2007-01-18,107420
41,TP_50_SL_200,2007-01-19,111319
42,TP_50_SL_200,2007-01-22,108590
43,TP_50_SL_200,2007-01-23,112489
44,TP_50_SL_200,2007-01-24,116682
45,TP_50_SL_200,2007-01-25,111709
46,TP_50_SL_200,2007-01-26,115024
47,TP_50_SL_200,2007-01-29,116097
48,TP_50_SL_200,2007-01-30,118632
49,TP_50_SL_200,2007-01-31,120289
50,TP_50_SL_200,2007-02-01,122630
51,TP_50_SL_200,2007-02-16,124520
52,TP_50_SL_200,2007-02-20,129980
53,TP_50_SL_200,2007-02-21,130400
54,TP_50_SL_200,2007-02-22,131030
