date,pnl
2019-01-10,462.50
2019-01-11,1295.00
2019-01-14,-555.00
2019-01-15,1850.00
2019-01-16,1480.00
2019-01-17,1110.00
2019-01-18,1665.00
2019-01-22,-2590.00
2019-01-23,-370.00
2019-01-24,1295.00
2019-01-25,2035.00
2019-01-28,-555.00
2019-01-29,185.00
2019-01-30,1665.00
2019-01-31,925.00
2019-02-01,555.00
2019-02-04,1017.50
2019-02-05,185.00
2019-02-06,-92.50
2019-02-07,-462.50
2019-02-08,0.00
2019-02-11,555.00
2019-02-12,647.50
2019-02-13,92.50
2019-02-14,92.50
2019-02-15,370.00
2019-02-19,-92.50
2019-02-20,277.50
2019-02-21,-277.50
2019-02-22,92.50
2019-02-25,92.50
2019-02-26,0.00
2019-02-27,0.00
2019-02-28,92.50
2019-03-01,92.50
2019-03-04,-185.00
2019-03-05,185.00
2019-03-06,0.00
2019-03-07,0.00
2019-03-08,92.50
2019-03-11,92.50
2019-03-12,-92.50
2019-03-13,0.00
