,strategy,date,pnl
1,PX_LX,2006-11-17,99145.00
2,PX_LX,2006-11-20,100855.00
3,PX_LX,2006-11-21,101995.00
4,PX_LX,2006-11-22,101995.00
5,PX_LX,2006-11-24,100665.00
6,PX_LX,2006-11-27,92305.00
7,PX_LX,2006-11-28,93255.00
8,PX_LX,2006-11-29,98765.00
9,PX_LX,2006-11-30,100665.00
10,PX_LX,2006-12-01,96485.00
11,PX_LX,2006-12-04,103800.00
12,PX_LX,2006-12-05,104085.00
13,PX_LX,2006-12-06,103705.00
14,PX_LX,2006-12-07,103325.00
15,PX_LX,2006-12-08,103040.00
16,PX_LX,2006-12-11,103800.00
17,PX_LX,2006-12-12,102470.00
18,PX_LX,2006-12-13,103895.00
19,PX_LX,2006-12-14,107125.00
20,PX_LX,2006-12-15,105510.00
21,PX_LX,2006-12-18,100950.00
22,PX_LX,2006-12-19,101330.00
23,PX_LX,2006-12-20,103610.00
24,PX_LX,2006-12-21,102470.00
25,PX_LX,2006-12-22,102470.00
26,PX_LX,2006-12-26,105700.00
27,PX_LX,2006-12-27,109690.00
28,PX_LX,2006-12-28,109785.00
29,PX_LX,2006-12-29,107600.00
30,PX_LX,2007-01-03,106460.00
31,PX_LX,2007-01-04,109595.00
32,PX_LX,2007-01-05,102280.00
33,PX_LX,2007-01-08,103990.00
34,PX_LX,2007-01-09,105130.00
35,PX_LX,2007-01-10,106080.00
36,PX_LX,2007-01-11,110925.00
37,PX_LX,2007-01-12,114142.50
38,PX_LX,2007-01-16,112777.50
39,PX_LX,2007-01-17,111997.50
40,PX_LX,2007-01-18,107707.50
41,PX_LX,2007-01-19,111607.50
42,PX_LX,2007-01-22,108877.50
43,PX_LX,2007-01-23,112777.50
44,PX_LX,2007-01-24,116970.00
45,PX_LX,2007-01-25,111997.50
46,PX_LX,2007-01-26,115312.50
47,PX_LX,2007-01-29,116385.00
48,PX_LX,2007-01-30,118920.00
49,PX_LX,2007-01-31,120577.50
50,PX_LX,2007-02-01,122917.50
51,PX_LX,2007-02-02,123210.00
52,PX_LX,2007-02-05,122527.50
53,PX_LX,2007-02-06,123600.00
54,PX_LX,2007-02-07,125257.50
55,PX_LX,2007-02-08,125550.00
56,PX_LX,2007-02-09,123892.50
57,PX_LX,2007-02-12,124087.50
58,PX_LX,2007-02-13,125842.50
59,PX_LX,2007-02-14,126330.00
60,PX_LX,2007-02-15,127207.50
61,PX_LX,2007-02-16,129202.50
62,PX_LX,2007-02-20,134662.50
63,PX_LX,2007-02-21,135082.50
64,PX_LX,2007-02-22,135712.50
65,PX_LX,2007-02-23,135082.50
66,PX_LX,2007-02-26,133402.50
67,PX_LX,2007-02-27,110722.50
68,PX_LX,2007-02-28,111352.50
69,PX_LX,2007-03-01,109672.50
70,PX_LX,2007-03-02,97282.50
71,PX_LX,2007-03-05,84262.50
72,PX_LX,2007-03-06,98542.50
73,PX_LX,2007-03-07,96442.50
74,PX_LX,2007-03-08,101062.50
75,PX_LX,2007-03-09,102742.50
76,PX_LX,2007-03-12,106942.50
77,PX_LX,2007-03-13,89302.50
78,PX_LX,2007-03-14,92662.50
79,PX_LX,2007-03-15,100432.50
80,PX_LX,2007-03-16,98485.00
81,PX_LX,2007-03-19,102380.00
82,PX_LX,2007-03-20,105660.00
83,PX_LX,2007-03-21,110580.00
84,PX_LX,2007-03-22,111195.00
85,PX_LX,2007-03-23,111810.00
86,PX_LX,2007-03-26,111810.00
87,PX_LX,2007-03-27,110170.00
88,PX_LX,2007-03-28,107710.00
89,PX_LX,2007-03-29,108120.00
90,PX_LX,2007-03-30,108530.00
91,PX_LX,2007-04-02,110375.00
92,PX_LX,2007-04-03,114065.00
93,PX_LX,2007-04-04,114065.00
94,PX_LX,2007-04-05,115397.50
95,PX_LX,2007-04-09,116012.50
96,PX_LX,2007-04-10,117140.00
97,PX_LX,2007-04-11,115090.00
98,PX_LX,2007-04-12,117345.00
99,PX_LX,2007-04-13,118515.00
100,PX_LX,2007-04-16,121305.00
101,PX_LX,2007-04-17,121215.00
102,PX_LX,2007-04-18,120765.00
103,PX_LX,2007-04-19,119145.00
104,PX_LX,2007-04-20,120945.00
105,PX_LX,2007-04-23,121395.00
106,PX_LX,2007-04-24,121125.00
107,PX_LX,2007-04-25,122295.00
108,PX_LX,2007-04-26,122475.00
109,PX_LX,2007-04-27,122205.00
110,PX_LX,2007-04-30,119145.00
111,PX_LX,2007-05-01,119595.00
112,PX_LX,2007-05-02,122205.00
113,PX_LX,2007-05-03,122205.00
114,PX_LX,2007-05-04,122205.00
115,PX_LX,2007-05-07,123195.00
116,PX_LX,2007-05-08,122565.00
117,PX_LX,2007-05-09,123465.00
118,PX_LX,2007-05-10,121395.00
119,PX_LX,2007-05-11,123465.00
120,PX_LX,2007-05-14,121935.00
121,PX_LX,2007-05-15,121395.00
122,PX_LX,2007-05-16,122565.00
123,PX_LX,2007-05-17,122205.00
124,PX_LX,2007-05-18,125072.50
125,PX_LX,2007-05-21,127662.50
126,PX_LX,2007-05-22,129142.50
127,PX_LX,2007-05-23,129142.50
128,PX_LX,2007-05-24,125257.50
