,trade nr.,strategy_code,entry_date,expiration,exit_date,entry_underlying,entry_vix,strikes,iv_legs,entry_price,dte,dit,pnl,max_risk,position_size,percentage,exit,dailypnls
0,1,P50_L200,2006-11-16 00:00:00,2007-01-20,2006-12-14,791.05,10.07,750/720,0.19/0.21,-4.25,37,28,7125.0,-97945.0,38.0,7.27%,dte,
1,2,P50_L200,2006-12-14 00:00:00,2007-02-17,2007-01-11,796.4,10.03,750/720,0.21/0.23,-4.1,37,28,3800.0,-98515.0,38.0,3.86%,dte,
2,3,P50_L200,2007-01-11 00:00:00,2007-03-17,2007-01-31,788.79,10.68,750/720,0.20/0.22,-4.9,45,20,9652.5,-97987.5,39.0,9.85%,tp,
3,4,P50_L200,2007-02-15 00:00:00,2007-04-21,2007-03-15,816.55,10.19,800/770,0.16/0.18,-6.6,37,28,-26775.0,-98385.0,42.0,-27.21%,dte,
4,5,P50_L200,2007-03-15 00:00:00,2007-05-19,2007-04-03,781.87,16.31,750/720,0.22/0.24,-5.9,46,19,13632.5,-98912.5,41.0,13.78%,tp,
5,6,P50_L200,2007-04-12 00:00:00,2007-06-16,2007-05-07,814.11,12.73,750/720,0.22/0.24,-2.9,40,25,5850.0,-97650.0,36.0,5.99%,tp,
6,7,P50_L200,2007-05-17 00:00:00,2007-07-21,2007-05-22,816.42,13.42,750/720,0.23/0.25,-3.4,60,5,6937.5,-98512.5,37.0,7.04%,tp,
7,8,P50_L200,2007-06-14 00:00:00,2007-08-18,2007-07-13,837.47,13.65,800/770,0.20/0.22,-5.2,36,29,10900.0,-99300.0,40.0,10.98%,tp,
8,9,P50_L200,2007-07-19 00:00:00,2007-09-22,2007-08-03,852.33,15.22,800/770,0.23/0.26,-4.65,50,15,-45922.5,-98962.5,39.0,-46.40%,sl,
9,10,P50_L200,2007-08-16 00:00:00,2007-10-20,2007-08-22,760.68,31.33,650/620,0.41/0.43,-3.75,59,6,7790.0,-99845.0,38.0,7.80%,tp,
10,11,P50_L200,2007-09-13 00:00:00,2007-11-17,2007-09-19,781.38,24.76,700/670,0.35/0.38,-4.85,59,6,10042.5,-98182.5,39.0,10.23%,tp,
11,12,P50_L200,2007-10-18 00:00:00,2007-12-22,2007-11-15,824.2,18.44,750/720,0.28/0.30,-4.0,37,28,-16245.0,-98895.0,38.0,-16.43%,dte,
12,13,P50_L200,2007-11-15 00:00:00,2008-01-19,2007-12-06,768.4,28.89,650/620,0.41/0.43,-3.5,44,21,9342.5,-98142.5,37.0,9.52%,tp,
13,14,P50_L200,2007-12-13 00:00:00,2008-02-16,2007-12-26,767.9,22.88,700/670,0.33/0.35,-5.55,52,13,12800.0,-97900.0,40.0,13.07%,tp,
14,15,P50_L200,2008-01-17 00:00:00,2008-03-22,2008-01-31,682.4,28.24,600/570,0.35/0.36,-4.1,51,14,7885.0,-98515.0,38.0,8.00%,tp,
15,16,P50_L200,2008-02-14 00:00:00,2008-04-19,2008-03-13,707.43,25.28,650/620,0.34/0.35,-5.9,37,28,-3587.5,-98912.5,41.0,-3.63%,dte,
16,17,P50_L200,2008-03-13 00:00:00,2008-05-17,2008-04-01,679.67,26.76,600/570,0.35/0.37,-4.35,46,19,9975.0,-97565.0,38.0,10.22%,tp,
17,18,P50_L200,2008-04-17 00:00:00,2008-06-21,2008-05-01,709.13,20.83,650/620,0.29/0.30,-5.15,51,14,10400.0,-99500.0,40.0,10.45%,tp,
18,19,P50_L200,2008-05-15 00:00:00,2008-07-19,2008-06-12,743.25,16.44,700/670,0.25/0.27,-5.55,37,28,-7900.0,-97900.0,40.0,-8.07%,dte,
19,20,P50_L200,2008-06-12 00:00:00,2008-08-16,2008-07-17,718.97,23.65,650/620,0.31/0.33,-4.55,30,35,682.5,-99352.5,39.0,0.69%,dte,
20,21,P50_L200,2008-07-17 00:00:00,2008-09-20,2008-08-05,693.3,24.75,650/620,0.30/0.32,-6.4,46,19,13965.0,-99225.0,42.0,14.07%,tp,
21,22,P50_L200,2008-08-14 00:00:00,2008-10-18,2008-09-18,753.33,20.43,700/670,0.28/0.29,-5.55,30,35,-13100.0,-97900.0,40.0,-13.38%,dte,
22,23,P50_L200,2008-09-18 00:00:00,2008-11-22,2008-10-03,719.27,33.75,650/620,0.36/0.38,-5.0,50,15,-39292.5,-97597.5,39.0,-40.26%,sl,
23,24,P50_L200,2008-10-16 00:00:00,2008-12-20,2008-11-04,527.47,71.35,400/370,0.74/0.77,-4.55,46,19,9262.5,-99352.5,39.0,9.32%,tp,
24,25,P50_L200,2008-11-13 00:00:00,2009-01-17,2008-12-18,477.86,59.61,400/370,0.68/0.72,-6.0,30,35,11377.5,-98502.5,41.0,11.55%,dte,
25,26,P50_L200,2008-12-18 00:00:00,2009-02-21,2008-12-31,476.02,48.38,400/370,0.65/0.68,-6.05,52,13,12402.5,-98297.5,41.0,12.62%,tp,
26,27,P50_L200,2009-01-15 00:00:00,2009-03-21,2009-01-28,454.94,52.03,350/320,0.66/0.70,-3.8,52,13,7315.0,-99655.0,38.0,7.34%,tp,
