,strategy_code,trade nr.,expiration,entry_date,strikes,entry_price,exit_date,DIT,DTE,pnl,max risk,position size,percentage,exit
1,TP_50_SL_200,1,2007-01-20,2006-11-16,750/720,-4.25,2006-12-14,28,37,7030,-97850,38,7.18%,dte
2,TP_50_SL_200,2,2007-02-17,2006-12-14,750/720,-4.1,2007-01-11,28,37,3705,-98420,38,3.76%,dte
3,TP_50_SL_200,3,2007-03-17,2007-01-11,750/720,-4.9,2007-02-01,21,44,11895,-97890,39,12.15%,tp
4,TP_50_SL_200,4,2007-04-21,2007-02-15,800/770,-6.6,2007-03-15,28,37,-26879,-98280,42,-27.35%,dte
5,TP_50_SL_200,5,2007-05-19,2007-03-15,700/670,-2.7,2007-03-26,11,54,5219,-98280,36,5.31%,tp
6,TP_50_SL_200,6,2007-06-16,2007-04-12,750/720,-2.9,2007-05-07,25,40,5760,-97560,36,5.9%,tp
7,TP_50_SL_200,7,2007-07-21,2007-05-17,750/720,-3.4,2007-05-22,5,60,6845,-98420,37,6.95%,tp
8,TP_50_SL_200,8,2007-08-18,2007-06-14,800/770,-5.2,2007-07-13,29,36,10800,-99200,40,10.89%,tp
9,TP_50_SL_200,9,2007-09-22,2007-07-19,800/770,-4.65,2007-08-03,15,50,-46020,-98865,39,-46.55%,sl
10,TP_50_SL_200,10,2007-10-20,2007-08-16,650/620,-3.75,2007-08-22,6,59,7695,-99750,38,7.71%,tp
11,TP_50_SL_200,11,2007-11-17,2007-09-13,700/670,-4.85,2007-09-19,6,59,9945,-98085,39,10.14%,tp
12,TP_50_SL_200,12,2007-12-22,2007-10-18,750/720,-4.0,2007-11-15,28,37,-16340,-98800,38,-16.54%,dte
13,TP_50_SL_200,13,2008-01-19,2007-11-15,650/620,-3.5,2007-12-06,21,44,9249,-98050,37,9.43%,tp
14,TP_50_SL_200,14,2008-02-16,2007-12-13,700/670,-5.55,2007-12-26,13,52,12700,-97800,40,12.99%,tp
15,TP_50_SL_200,15,2008-03-22,2008-01-17,600/570,-4.1,2008-01-31,14,51,7790,-98420,38,7.92%,tp
16,TP_50_SL_200,16,2008-04-19,2008-02-14,650/620,-5.9,2008-03-13,28,37,-3690,-98810,41,-3.73%,dte
17,TP_50_SL_200,17,2008-05-17,2008-03-13,600/570,-4.35,2008-04-01,19,46,9879,-97469,38,10.14%,tp
18,TP_50_SL_200,18,2008-06-21,2008-04-17,650/620,-5.15,2008-05-01,14,51,10300,-99399,40,10.36%,tp
19,TP_50_SL_200,19,2008-07-19,2008-05-15,700/670,-5.55,2008-06-12,28,37,-8000,-97800,40,-8.18%,dte
20,TP_50_SL_200,20,2008-08-16,2008-06-12,650/620,-4.55,2008-07-17,35,30,585,-99255,39,0.59%,dte
21,TP_50_SL_200,21,2008-09-20,2008-07-17,600/570,-3.2,2008-07-29,12,53,6382,-99160,37,6.44%,tp
22,TP_50_SL_200,22,2008-10-18,2008-08-14,700/670,-5.55,2008-09-18,35,30,-13200,-97800,40,-13.5%,dte
23,TP_50_SL_200,23,2008-11-22,2008-09-18,650/620,-5.0,2008-10-03,15,50,-40400,-100000,40,-40.4%,sl
24,TP_50_SL_200,24,2008-12-20,2008-10-16,400/370,-4.55,2008-11-04,19,46,9164,-99255,39,9.23%,tp
25,TP_50_SL_200,25,2009-01-17,2008-11-13,400/370,-6.0,2008-12-18,35,30,11274,-98400,41,11.46%,dte
26,TP_50_SL_200,26,2009-02-21,2008-12-18,400/370,-6.05,2009-01-02,15,50,14555,-98195,41,14.82%,tp
27,TP_50_SL_200,27,2009-03-21,2009-01-15,350/320,-3.8,2009-01-28,13,52,7220,-99560,38,7.25%,tp
28,TP_50_SL_200,28,2009-04-18,2009-02-12,400/370,-6.2,2009-03-03,19,46,-52289,-99960,42,-52.31%,sl
29,TP_50_SL_200,29,2009-05-16,2009-03-12,350/320,-6.65,2009-03-26,14,51,16800,-98069,42,17.13%,tp
30,TP_50_SL_200,30,2009-06-20,2009-04-16,400/370,-4.9,2009-05-04,18,47,10627,-97890,39,10.86%,tp
31,TP_50_SL_200,31,2009-07-18,2009-05-14,400/370,-3.8,2009-05-29,15,50,7314,-99560,38,7.35%,tp
32,TP_50_SL_200,32,2009-08-22,2009-06-18,450/420,-4.6,2009-07-15,27,38,9554,-99060,39,9.64%,tp
33,TP_50_SL_200,33,2009-09-19,2009-07-16,450/420,-3.05,2009-07-24,8,57,5827,-99715,37,5.84%,tp
34,TP_50_SL_200,34,2009-10-17,2009-08-13,500/470,-3.4,2009-09-09,27,38,7122,-98420,37,7.24%,tp
35,TP_50_SL_200,35,2009-11-21,2009-09-17,550/520,-4.05,2009-10-14,27,38,7979,-98610,38,8.09%,tp
36,TP_50_SL_200,36,2009-12-19,2009-10-15,550/520,-3.4,2009-11-12,28,37,-8510,-98420,37,-8.65%,dte
37,TP_50_SL_200,37,2010-01-16,2009-11-12,500/470,-3.3,2009-12-02,20,45,6845,-98790,37,6.93%,tp
38,TP_50_SL_200,38,2010-02-20,2009-12-17,550/520,-4.45,2009-12-24,7,58,9457,-99644,39,9.49%,tp
39,TP_50_SL_200,39,2010-03-20,2010-01-14,600/570,-4.55,2010-02-11,28,37,-17160,-99254,39,-17.29%,dte
40,TP_50_SL_200,40,2010-04-17,2010-02-11,550/520,-4.2,2010-02-19,8,57,8359,-98040,38,8.53%,tp
41,TP_50_SL_200,41,2010-05-22,2010-03-18,650/620,-6.2,2010-04-06,19,46,13754,-99960,42,13.76%,tp
42,TP_50_SL_200,42,2010-06-19,2010-04-15,650/620,-2.75,2010-05-07,22,43,-27360,-98100,36,-27.89%,sl
43,TP_50_SL_200,43,2010-07-17,2010-05-13,600/570,-3.1,2010-06-17,35,30,-370,-99529,37,-0.37%,dte
44,TP_50_SL_200,44,2010-08-21,2010-06-17,600/570,-5.05,2010-07-15,28,37,-4000,-99799,40,-4.01%,dte
45,TP_50_SL_200,45,2010-09-18,2010-07-15,550/520,-4.1,2010-08-02,18,47,9215,-98420,38,9.36%,tp
46,TP_50_SL_200,46,2010-10-16,2010-08-12,550/520,-5.25,2010-09-03,22,43,13600,-98999,40,13.74%,tp
47,TP_50_SL_200,47,2010-11-20,2010-09-16,600/570,-5.8,2010-10-05,19,46,13324,-99219,41,13.43%,tp
48,TP_50_SL_200,48,2010-12-18,2010-10-14,650/620,-5.8,2010-11-04,21,44,14350,-99220,41,14.46%,tp
49,TP_50_SL_200,49,2011-01-22,2010-11-18,650/620,-4.35,2010-12-02,14,51,9024,-97470,38,9.26%,tp
50,TP_50_SL_200,50,2011-02-19,2010-12-16,700/670,-3.65,2011-01-11,26,39,7307,-97495,37,7.49%,tp
51,TP_50_SL_200,51,2011-03-19,2011-01-13,700/670,-2.8,2011-02-07,25,40,5040,-97920,36,5.15%,tp
52,TP_50_SL_200,52,2011-04-16,2011-02-10,750/720,-4.75,2011-03-17,35,30,-4095,-98475,39,-4.16%,dte
53,TP_50_SL_200,53,2011-05-21,2011-03-17,700/670,-4.3,2011-03-24,7,58,8549,-97660,38,8.75%,tp
54,TP_50_SL_200,54,2011-06-18,2011-04-14,725/695,-2.55,2011-04-26,12,53,5129,-98820,36,5.19%,tp
55,TP_50_SL_200,55,2011-07-16,2011-05-12,750/720,-3.0,2011-06-16,35,30,-9990,-99900,37,-10.0%,dte
56,TP_50_SL_200,56,2011-08-20,2011-06-16,700/670,-4.2,2011-06-28,12,53,8739,-98040,38,8.91%,tp
57,TP_50_SL_200,57,2011-09-17,2011-07-14,725/695,-3.05,2011-08-04,21,44,-26455,-99715,37,-26.53%,sl
58,TP_50_SL_200,58,2011-10-22,2011-08-18,550/520,-4.3,2011-08-29,11,54,9690,-97660,38,9.92%,tp
59,TP_50_SL_200,59,2011-11-19,2011-09-15,600/570,-4.5,2011-10-13,28,37,4290,-99450,39,4.31%,dte
60,TP_50_SL_200,60,2011-12-17,2011-10-13,600/570,-5.05,2011-10-27,14,51,14200,-99800,40,14.23%,tp
61,TP_50_SL_200,61,2012-01-21,2011-11-17,600/570,-4.5,2011-12-05,18,47,9945,-99450,39,10.0%,tp
62,TP_50_SL_200,62,2012-02-18,2011-12-15,600/570,-3.7,2011-12-23,8,57,7030,-99940,38,7.03%,tp
63,TP_50_SL_200,63,2012-03-17,2012-01-12,650/620,-2.65,2012-01-24,12,53,4859,-98460,36,4.93%,tp
64,TP_50_SL_200,64,2012-04-21,2012-02-16,750/720,-4.35,2012-03-15,28,37,8740,-97470,38,8.97%,dte
65,TP_50_SL_200,65,2012-05-19,2012-03-15,750/720,-3.95,2012-04-12,28,37,1330,-98990,38,1.34%,dte
66,TP_50_SL_200,66,2012-06-16,2012-04-12,700/670,-2.65,2012-04-27,15,50,5040,-98460,36,5.12%,tp
67,TP_50_SL_200,67,2012-07-21,2012-05-17,650/620,-3.35,2012-06-08,22,43,6844,-98604,37,6.94%,tp
68,TP_50_SL_200,68,2012-08-18,2012-06-14,650/620,-2.85,2012-06-29,15,50,7289,-97740,36,7.46%,tp
69,TP_50_SL_200,69,2012-09-22,2012-07-19,750/720,-5.2,2012-08-16,28,37,11500,-99200,40,11.59%,dte
70,TP_50_SL_200,70,2012-10-20,2012-08-16,750/720,-4.3,2012-09-06,21,44,9215,-97660,38,9.44%,tp
71,TP_50_SL_200,71,2012-11-17,2012-09-13,800/770,-4.15,2012-10-18,35,30,3895,-98230,38,3.97%,dte
72,TP_50_SL_200,72,2012-12-22,2012-10-18,775/745,-3.6,2012-11-14,27,38,-28675,-97680,37,-29.36%,sl
73,TP_50_SL_200,73,2013-01-19,2012-11-15,700/670,-3.8,2012-11-20,5,60,7410,-99560,38,7.44%,tp
74,TP_50_SL_200,74,2013-02-16,2012-12-13,750/720,-3.05,2013-01-02,20,45,8232,-99715,37,8.26%,tp
75,TP_50_SL_200,75,2013-03-16,2013-01-10,800/770,-2.75,2013-01-22,12,53,5760,-98100,36,5.87%,tp
76,TP_50_SL_200,76,2013-04-20,2013-02-14,850/820,-2.55,2013-03-08,22,43,5489,-98820,36,5.55%,tp
77,TP_50_SL_200,77,2013-05-18,2013-03-14,900/870,-3.7,2013-04-18,35,30,-22610,-99940,38,-22.62%,dte
78,TP_50_SL_200,78,2013-06-22,2013-04-18,800/770,-2.6,2013-04-24,6,59,5310,-98640,36,5.38%,tp
79,TP_50_SL_200,79,2013-07-20,2013-05-16,900/870,-3.3,2013-06-13,28,37,4439,-98790,37,4.49%,dte
80,TP_50_SL_200,80,2013-08-17,2013-06-13,900/870,-3.45,2013-07-05,22,43,7029,-98235,37,7.16%,tp
81,TP_50_SL_200,81,2013-09-21,2013-07-18,950/920,-2.65,2013-08-05,18,47,5040,-98460,36,5.12%,tp
82,TP_50_SL_200,82,2013-10-19,2013-08-15,925/895,-2.9,2013-09-10,26,39,6659,-97560,36,6.83%,tp
83,TP_50_SL_200,83,2013-11-16,2013-09-12,950/920,-2.95,2013-09-26,14,51,5399,-97380,36,5.54%,tp
84,TP_50_SL_200,84,2013-12-21,2013-10-17,1025/995,-3.35,2013-11-14,28,37,6752,-98605,37,6.85%,dte
85,TP_50_SL_200,85,2014-01-18,2013-11-14,1025/995,-3.1,2013-11-27,13,52,6012,-99530,37,6.04%,tp
86,TP_50_SL_200,86,2014-02-22,2013-12-19,1050/1020,-3.75,2013-12-24,5,60,8075,-99750,38,8.1%,tp
87,TP_50_SL_200,87,2014-03-22,2014-01-16,1100/1070,-3.9,2014-02-05,20,45,-30779,-99180,38,-31.03%,sl
88,TP_50_SL_200,88,2014-04-19,2014-02-13,1050/1020,-3.0,2014-02-27,14,51,5920,-99899,37,5.93%,tp
89,TP_50_SL_200,89,2014-05-17,2014-03-13,1100/1070,-4.6,2014-04-17,35,30,-2924,-99060,39,-2.95%,dte
90,TP_50_SL_200,90,2014-06-21,2014-04-17,1050/1020,-4.1,2014-05-15,28,37,-3800,-98419,38,-3.86%,dte
91,TP_50_SL_200,91,2014-07-19,2014-05-15,1000/970,-3.4,2014-05-27,12,53,7862,-98420,37,7.99%,tp
92,TP_50_SL_200,92,2014-08-16,2014-06-12,1050/1020,-3.0,2014-06-20,8,57,6475,-99899,37,6.48%,tp
93,TP_50_SL_200,93,2014-09-20,2014-07-17,1050/1020,-4.65,2014-08-13,27,38,10139,-98865,39,10.26%,tp
94,TP_50_SL_200,94,2014-10-18,2014-08-14,1050/1020,-3.35,2014-08-26,12,53,7214,-98605,37,7.32%,tp
95,TP_50_SL_200,95,2014-11-22,2014-09-18,1050/1020,-2.7,2014-10-07,19,46,-19620,-98280,36,-19.96%,sl
96,TP_50_SL_200,96,2014-12-20,2014-10-16,950/920,-2.8,2014-10-23,7,58,5130,-97920,36,5.24%,tp
97,TP_50_SL_200,97,2015-01-17,2014-11-13,1100/1070,-4.3,2014-12-17,34,31,2850,-97660,38,2.92%,dte
98,TP_50_SL_200,98,2015-02-20,2014-12-17,1050/1020,-3.4,2014-12-23,6,59,6290,-98420,37,6.39%,tp
99,TP_50_SL_200,99,2015-03-20,2015-01-14,1050/1020,-3.25,2015-02-05,22,43,7122,-98975,37,7.2%,tp
100,TP_50_SL_200,100,2015-04-17,2015-02-11,1100/1070,-3.7,2015-02-24,13,52,7979,-99940,38,7.98%,tp
101,TP_50_SL_200,101,2015-05-15,2015-03-11,1100/1070,-3.1,2015-03-18,7,58,6290,-99530,37,6.32%,tp
